#,Date-Time (PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Host Connected,Button Down,Button Up,End of File
79,04/27/2024 15:20:00,23.64,23183.36,,,,
80,04/27/2024 15:25:00,26.25,23654.40,,,,
81,04/27/2024 15:30:00,26.12,18063.36,,,,
82,04/27/2024 15:35:00,25.44,23705.60,,,,
83,04/27/2024 15:40:00,27.80,23060.48,,,,
84,04/27/2024 15:45:00,29.43,22630.40,,,,
85,04/27/2024 15:50:00,30.28,22466.56,,,,
86,04/27/2024 15:55:00,30.24,22128.64,,,,
87,04/27/2024 16:00:00,30.03,21616.64,,,,
88,04/27/2024 16:05:00,30.03,21155.84,,,,
89,04/27/2024 16:10:00,30.33,20715.52,,,,
90,04/27/2024 16:15:00,30.07,20264.96,,,,
91,04/27/2024 16:20:00,30.71,19932.16,,,,
92,04/27/2024 16:25:00,30.59,19527.68,,,,
93,04/27/2024 16:30:00,30.50,19179.52,,,,
94,04/27/2024 16:35:00,30.24,18862.08,,,,
95,04/27/2024 16:40:00,29.98,18647.04,,,,
96,04/27/2024 16:45:00,29.98,18606.08,,,,
97,04/27/2024 16:50:00,30.33,18672.64,,,,
98,04/27/2024 16:55:00,30.41,18954.24,,,,
99,04/27/2024 17:00:00,30.33,19502.08,,,,
100,04/27/2024 17:05:00,29.98,20101.12,,,,
101,04/27/2024 17:10:00,29.38,19758.08,,,,
102,04/27/2024 17:15:00,28.95,18549.76,,,,
103,04/27/2024 17:20:00,28.40,17075.20,,,,
104,04/27/2024 17:25:00,28.01,15631.36,,,,
105,04/27/2024 17:30:00,27.71,14448.64,,,,
106,04/27/2024 17:35:00,25.82,2981.12,,,,
107,04/27/2024 17:40:00,20.72,1432.96,,,,
108,04/27/2024 17:45:00,18.32,1379.20,,,,
109,04/27/2024 17:50:00,17.03,1448.96,,,,
110,04/27/2024 17:55:00,15.53,1411.20,,,,
111,04/27/2024 18:00:00,15.10,1379.20,,,,
112,04/27/2024 18:05:00,15.10,1040.00,,,,
113,04/27/2024 18:10:00,14.80,986.56,,,,
114,04/27/2024 18:15:00,14.63,942.40,,,,
115,04/27/2024 18:20:00,14.54,897.92,,,,
116,04/27/2024 18:25:00,14.75,866.88,,,,
117,04/27/2024 18:30:00,14.80,730.24,,,,
118,04/27/2024 18:35:00,14.67,845.76,,,,
119,04/27/2024 18:40:00,14.75,915.52,,,,
120,04/27/2024 18:45:00,14.97,424.32,,,,
121,04/27/2024 18:50:00,15.01,856.00,,,,
122,04/27/2024 18:55:00,14.97,296.16,,,,
123,04/27/2024 19:00:00,14.97,134.44,,,,
124,04/27/2024 19:05:00,14.93,107.64,,,,
125,04/27/2024 19:10:00,14.93,138.76,,,,
126,04/27/2024 19:15:00,14.97,50.46,,,,
127,04/27/2024 19:20:00,14.93,177.28,,,,
128,04/27/2024 19:25:00,14.93,107.56,,,,
129,04/27/2024 19:30:00,14.93,19.60,,,,
130,04/27/2024 19:35:00,14.93,40.92,,,,
131,04/27/2024 19:40:00,14.88,36.59,,,,
132,04/27/2024 19:45:00,14.84,2.66,,,,
133,04/27/2024 19:50:00,14.80,0.86,,,,
134,04/27/2024 19:55:00,14.80,1.07,,,,
135,04/27/2024 20:00:00,14.80,0.07,,,,
136,04/27/2024 20:05:00,14.71,0.00,,,,
137,04/27/2024 20:10:00,14.75,0.00,,,,
138,04/27/2024 20:15:00,14.75,0.00,,,,
139,04/27/2024 20:20:00,14.71,0.00,,,,
140,04/27/2024 20:25:00,14.67,0.00,,,,
141,04/27/2024 20:30:00,14.67,0.00,,,,
142,04/27/2024 20:35:00,14.71,0.00,,,,
143,04/27/2024 20:40:00,14.67,0.00,,,,
144,04/27/2024 20:45:00,14.67,0.00,,,,
145,04/27/2024 20:50:00,14.67,0.00,,,,
146,04/27/2024 20:55:00,14.63,0.00,,,,
147,04/27/2024 21:00:00,14.63,0.00,,,,
148,04/27/2024 21:05:00,14.67,0.00,,,,
149,04/27/2024 21:10:00,14.63,0.00,,,,
150,04/27/2024 21:15:00,14.63,0.00,,,,
151,04/27/2024 21:20:00,14.58,0.00,,,,
152,04/27/2024 21:25:00,14.58,0.00,,,,
153,04/27/2024 21:30:00,14.54,0.00,,,,
154,04/27/2024 21:35:00,14.63,0.00,,,,
155,04/27/2024 21:40:00,14.58,0.00,,,,
156,04/27/2024 21:45:00,14.58,0.00,,,,
157,04/27/2024 21:50:00,14.54,0.00,,,,
158,04/27/2024 21:55:00,14.58,0.00,,,,
159,04/27/2024 22:00:00,14.58,0.00,,,,
160,04/27/2024 22:05:00,14.54,0.00,,,,
161,04/27/2024 22:10:00,14.58,0.00,,,,
162,04/27/2024 22:15:00,14.54,0.00,,,,
163,04/27/2024 22:20:00,14.45,0.00,,,,
164,04/27/2024 22:25:00,14.50,0.00,,,,
165,04/27/2024 22:30:00,14.54,0.00,,,,
166,04/27/2024 22:35:00,14.54,0.00,,,,
167,04/27/2024 22:40:00,14.50,0.00,,,,
168,04/27/2024 22:45:00,14.45,0.00,,,,
169,04/27/2024 22:50:00,14.50,0.00,,,,
170,04/27/2024 22:55:00,14.50,0.00,,,,
171,04/27/2024 23:00:00,14.50,0.00,,,,
172,04/27/2024 23:05:00,14.50,0.00,,,,
173,04/27/2024 23:10:00,14.45,0.00,,,,
174,04/27/2024 23:15:00,14.50,0.00,,,,
175,04/27/2024 23:20:00,14.45,0.00,,,,
176,04/27/2024 23:25:00,14.50,0.00,,,,
177,04/27/2024 23:30:00,14.54,0.00,,,,
178,04/27/2024 23:35:00,14.45,0.00,,,,
179,04/27/2024 23:40:00,14.45,0.00,,,,
180,04/27/2024 23:45:00,14.45,0.00,,,,
181,04/27/2024 23:50:00,14.50,0.00,,,,
182,04/27/2024 23:55:00,14.41,0.00,,,,
183,04/28/2024 00:00:00,14.45,0.00,,,,
184,04/28/2024 00:05:00,14.50,0.00,,,,
185,04/28/2024 00:10:00,14.45,0.00,,,,
186,04/28/2024 00:15:00,14.41,0.00,,,,
187,04/28/2024 00:20:00,14.41,0.00,,,,
188,04/28/2024 00:25:00,14.45,0.00,,,,
189,04/28/2024 00:30:00,14.41,0.00,,,,
190,04/28/2024 00:35:00,14.37,0.00,,,,
191,04/28/2024 00:40:00,14.37,0.00,,,,
192,04/28/2024 00:45:00,14.37,0.00,,,,
193,04/28/2024 00:50:00,14.41,0.00,,,,
194,04/28/2024 00:55:00,14.37,0.00,,,,
195,04/28/2024 01:00:00,14.41,0.00,,,,
196,04/28/2024 01:05:00,14.41,0.00,,,,
197,04/28/2024 01:10:00,14.33,0.00,,,,
198,04/28/2024 01:15:00,14.33,0.00,,,,
199,04/28/2024 01:20:00,14.33,0.00,,,,
200,04/28/2024 01:25:00,14.33,0.00,,,,
201,04/28/2024 01:30:00,14.33,0.00,,,,
202,04/28/2024 01:35:00,14.24,0.00,,,,
203,04/28/2024 01:40:00,14.20,0.00,,,,
204,04/28/2024 01:45:00,14.20,0.00,,,,
205,04/28/2024 01:50:00,14.20,0.00,,,,
206,04/28/2024 01:55:00,14.20,0.00,,,,
207,04/28/2024 02:00:00,14.11,0.00,,,,
208,04/28/2024 02:05:00,14.11,0.00,,,,
209,04/28/2024 02:10:00,14.11,0.00,,,,
210,04/28/2024 02:15:00,14.07,0.00,,,,
211,04/28/2024 02:20:00,14.11,0.00,,,,
212,04/28/2024 02:25:00,14.03,0.00,,,,
213,04/28/2024 02:30:00,14.03,0.00,,,,
214,04/28/2024 02:35:00,13.98,0.00,,,,
215,04/28/2024 02:40:00,13.98,0.00,,,,
216,04/28/2024 02:45:00,13.94,0.00,,,,
217,04/28/2024 02:50:00,13.94,0.00,,,,
218,04/28/2024 02:55:00,13.90,0.00,,,,
219,04/28/2024 03:00:00,13.85,0.00,,,,
220,04/28/2024 03:05:00,13.81,0.00,,,,
221,04/28/2024 03:10:00,13.73,0.00,,,,
222,04/28/2024 03:15:00,13.60,0.00,,,,
223,04/28/2024 03:20:00,13.00,0.00,,,,
224,04/28/2024 03:25:00,12.70,0.00,,,,
225,04/28/2024 03:30:00,12.05,0.00,,,,
226,04/28/2024 03:35:00,11.62,0.00,,,,
227,04/28/2024 03:40:00,11.54,0.00,,,,
228,04/28/2024 03:45:00,11.41,0.00,,,,
229,04/28/2024 03:50:00,11.24,0.00,,,,
230,04/28/2024 03:55:00,11.11,0.00,,,,
231,04/28/2024 04:00:00,10.81,0.00,,,,
232,04/28/2024 04:05:00,10.89,0.00,,,,
233,04/28/2024 04:10:00,10.89,0.00,,,,
234,04/28/2024 04:15:00,10.94,0.00,,,,
235,04/28/2024 04:20:00,10.98,0.00,,,,
236,04/28/2024 04:25:00,11.15,0.00,,,,
237,04/28/2024 04:30:00,11.28,0.07,,,,
238,04/28/2024 04:35:00,11.37,0.00,,,,
239,04/28/2024 04:40:00,11.37,0.00,,,,
240,04/28/2024 04:45:00,11.37,0.07,,,,
241,04/28/2024 04:50:00,11.32,0.00,,,,
242,04/28/2024 04:55:00,11.37,0.00,,,,
243,04/28/2024 05:00:00,11.28,0.00,,,,
244,04/28/2024 05:05:00,11.24,0.00,,,,
245,04/28/2024 05:10:00,10.98,0.00,,,,
246,04/28/2024 05:15:00,11.15,0.00,,,,
247,04/28/2024 05:20:00,11.19,0.00,,,,
248,04/28/2024 05:25:00,11.28,0.00,,,,
249,04/28/2024 05:30:00,11.49,0.00,,,,
250,04/28/2024 05:35:00,11.58,0.00,,,,
251,04/28/2024 05:40:00,11.67,0.28,,,,
252,04/28/2024 05:45:00,11.75,1.07,,,,
253,04/28/2024 05:50:00,11.88,3.45,,,,
254,04/28/2024 05:55:00,11.84,10.08,,,,
255,04/28/2024 06:00:00,11.79,23.36,,,,
256,04/28/2024 06:05:00,11.75,46.76,,,,
257,04/28/2024 06:10:00,11.75,84.00,,,,
258,04/28/2024 06:15:00,11.75,131.56,,,,
259,04/28/2024 06:20:00,11.75,199.52,,,,
260,04/28/2024 06:25:00,11.84,265.44,,,,
261,04/28/2024 06:30:00,12.05,342.24,,,,
262,04/28/2024 06:35:00,12.10,400.16,,,,
263,04/28/2024 06:40:00,12.18,471.04,,,,
264,04/28/2024 06:45:00,12.35,538.08,,,,
265,04/28/2024 06:50:00,12.61,654.72,,,,
266,04/28/2024 06:55:00,12.91,724.16,,,,
267,04/28/2024 07:00:00,13.47,929.92,,,,
268,04/28/2024 07:05:00,14.20,1158.72,,,,
269,04/28/2024 07:10:00,15.10,1313.92,,,,
270,04/28/2024 07:15:00,15.78,1474.56,,,,
271,04/28/2024 07:20:00,16.64,1636.48,,,,
272,04/28/2024 07:25:00,16.81,1841.28,,,,
273,04/28/2024 07:30:00,17.11,1342.72,,,,
274,04/28/2024 07:35:00,17.84,2476.80,,,,
275,04/28/2024 07:40:00,18.53,3114.24,,,,
276,04/28/2024 07:45:00,18.53,3614.72,,,,
277,04/28/2024 07:50:00,19.39,3937.28,,,,
278,04/28/2024 07:55:00,20.07,4254.72,,,,
279,04/28/2024 08:00:00,20.72,4573.44,,,,
280,04/28/2024 08:05:00,21.23,4944.64,,,,
281,04/28/2024 08:10:00,21.70,5463.04,,,,
282,04/28/2024 08:15:00,22.39,6010.88,,,,
283,04/28/2024 08:20:00,23.08,6653.44,,,,
284,04/28/2024 08:25:00,23.85,7272.96,,,,
285,04/28/2024 08:30:00,24.66,7912.96,,,,
286,04/28/2024 08:35:00,25.61,8327.68,,,,
287,04/28/2024 08:40:00,25.82,11120.64,,,,
288,04/28/2024 08:45:00,26.51,10447.36,,,,
289,04/28/2024 08:50:00,27.58,10536.96,,,,
290,04/28/2024 08:55:00,28.31,9594.88,,,,
291,04/28/2024 09:00:00,28.57,8148.48,,,,
292,04/28/2024 09:05:00,28.95,8542.72,,,,
293,04/28/2024 09:10:00,29.43,9236.48,,,,
294,04/28/2024 09:15:00,29.68,9697.28,,,,
295,04/28/2024 09:20:00,30.71,9953.28,,,,
296,04/28/2024 09:25:00,31.14,9809.92,,,,
297,04/28/2024 09:30:00,31.40,8867.84,,,,
298,04/28/2024 09:35:00,31.92,7559.68,,,,
299,04/28/2024 09:40:00,32.99,6174.72,,,,
300,04/28/2024 09:45:00,33.33,5118.72,,,,
301,04/28/2024 09:50:00,33.80,6213.12,,,,
302,04/28/2024 09:55:00,34.79,8445.44,,,,
303,04/28/2024 10:00:00,35.30,8801.28,,,,
304,04/28/2024 10:05:00,35.86,10022.40,,,,
305,04/28/2024 10:10:00,36.25,11125.76,,,,
306,04/28/2024 10:15:00,36.63,11581.44,,,,
307,04/28/2024 10:20:00,36.81,12129.28,,,,
308,04/28/2024 10:25:00,37.32,12764.16,,,,
309,04/28/2024 10:30:00,37.75,13337.60,,,,
310,04/28/2024 10:35:00,38.09,13885.44,,,,
311,04/28/2024 10:40:00,38.56,14540.80,,,,
312,04/28/2024 10:45:00,38.69,15032.32,,,,
313,04/28/2024 10:50:00,38.44,15462.40,,,,
314,04/28/2024 10:55:00,38.78,16092.16,,,,
315,04/28/2024 11:00:00,38.86,17013.76,,,,
316,04/28/2024 11:05:00,39.21,18309.12,,,,
317,04/28/2024 11:10:00,39.38,19000.32,,,,
318,04/28/2024 11:15:00,39.38,19353.60,,,,
319,04/28/2024 11:20:00,39.51,19420.16,,,,
320,04/28/2024 11:25:00,39.29,19394.56,,,,
321,04/28/2024 11:30:00,39.25,19266.56,,,,
322,04/28/2024 11:35:00,39.42,19394.56,,,,
323,04/28/2024 11:40:00,39.68,19568.64,,,,
324,04/28/2024 11:45:00,39.81,19722.24,,,,
325,04/28/2024 11:50:00,39.89,19696.64,,,,
326,04/28/2024 11:55:00,40.28,26112.00,,,,
327,04/28/2024 12:00:00,40.80,22620.16,,,,
328,04/28/2024 12:05:00,40.80,21688.32,,,,
329,04/28/2024 12:10:00,40.84,20090.88,,,,
330,04/28/2024 12:15:00,40.92,20254.72,,,,
331,04/28/2024 12:20:00,40.88,21340.16,,,,
332,04/28/2024 12:25:00,40.84,22292.48,,,,
333,04/28/2024 12:30:00,40.75,23142.40,,,,
334,04/28/2024 12:35:00,39.98,23377.92,,,,
335,04/28/2024 12:40:00,39.47,23592.96,,,,
336,04/28/2024 12:45:00,38.56,23644.16,,,,
337,04/28/2024 12:50:00,38.48,23982.08,,,,
338,04/28/2024 12:55:00,38.78,24207.36,,,,
339,04/28/2024 13:00:00,38.14,24381.44,,,,
340,04/28/2024 13:05:00,37.62,24473.60,,,,
341,04/28/2024 13:10:00,35.86,31068.16,,,,
342,04/28/2024 13:15:00,36.63,31160.32,,,,
343,04/28/2024 13:20:00,35.82,31078.40,,,,
344,04/28/2024 13:25:00,33.55,31221.76,,,,
345,04/28/2024 13:30:00,33.93,31160.32,,,,
346,04/28/2024 13:35:00,31.44,31016.96,,,,
347,04/28/2024 13:40:00,29.38,31006.72,,,,
348,04/28/2024 13:45:00,29.17,30760.96,,,,
349,04/28/2024 13:50:00,30.46,30453.76,,,,
350,04/28/2024 13:55:00,27.07,30156.80,,,,
351,04/28/2024 14:00:00,27.41,30310.40,,,,
352,04/28/2024 14:05:00,26.55,29255.68,,,,
353,04/28/2024 14:10:00,24.88,24166.40,,,,
354,04/28/2024 14:15:00,24.75,28037.12,,,,
355,04/28/2024 14:20:00,23.72,19604.48,,,,
356,04/28/2024 14:25:00,24.02,10639.36,,,,
357,04/28/2024 14:30:00,22.65,8908.80,,,,
358,04/28/2024 14:35:00,22.26,10577.92,,,,
359,04/28/2024 14:40:00,22.18,14714.88,,,,
360,04/28/2024 14:45:00,21.88,18135.04,,,,
361,04/28/2024 14:50:00,22.48,11944.96,,,,
362,04/28/2024 14:55:00,22.52,16773.12,,,,
363,04/28/2024 15:00:00,21.96,16486.40,,,,
364,04/28/2024 15:05:00,22.61,6789.12,,,,
365,04/28/2024 15:10:00,25.09,6415.36,,,,
366,04/28/2024 15:15:00,24.19,7329.28,,,,
367,04/28/2024 15:20:00,25.14,20382.72,,,,
368,04/28/2024 15:25:00,24.06,5831.68,,,,
369,04/28/2024 15:30:00,24.62,4396.80,,,,
370,04/28/2024 15:35:00,23.68,10531.84,,,,
371,04/28/2024 15:40:00,23.64,7616.00,,,,
372,04/28/2024 15:45:00,23.51,9797.12,,,,
373,04/28/2024 15:50:00,24.24,7769.60,,,,
374,04/28/2024 15:55:00,24.36,8983.04,,,,
375,04/28/2024 16:00:00,24.79,8465.92,,,,
376,04/28/2024 16:05:00,23.85,10608.64,,,,
377,04/28/2024 16:10:00,23.03,17648.64,,,,
378,04/28/2024 16:15:00,22.56,4364.80,,,,
379,04/28/2024 16:20:00,23.29,5045.76,,,,
380,04/28/2024 16:25:00,24.19,14064.64,,,,
381,04/28/2024 16:30:00,25.22,13839.36,,,,
382,04/28/2024 16:35:00,26.30,13194.24,,,,
383,04/28/2024 16:40:00,26.30,14914.56,,,,
384,04/28/2024 16:45:00,24.71,16133.12,,,,
385,04/28/2024 16:50:00,24.15,18222.08,,,,
386,04/28/2024 16:55:00,23.16,13629.44,,,,
387,04/28/2024 17:00:00,24.02,12620.80,,,,
388,04/28/2024 17:05:00,24.54,13619.20,,,,
389,04/28/2024 17:10:00,24.75,14504.96,,,,
390,04/28/2024 17:15:00,24.15,14515.20,,,,
391,04/28/2024 17:20:00,24.45,13419.52,,,,
392,04/28/2024 17:25:00,23.12,12513.28,,,,
393,04/28/2024 17:30:00,21.49,10828.80,,,,
394,04/28/2024 17:35:00,19.73,1157.12,,,,
395,04/28/2024 17:40:00,17.33,1461.76,,,,
396,04/28/2024 17:45:00,16.56,1388.80,,,,
397,04/28/2024 17:50:00,16.21,1320.96,,,,
398,04/28/2024 17:55:00,16.04,1256.64,,,,
399,04/28/2024 18:00:00,15.96,1207.36,,,,
400,04/28/2024 18:05:00,15.87,1158.08,,,,
401,04/28/2024 18:10:00,16.21,1105.28,,,,
402,04/28/2024 18:15:00,16.39,918.40,,,,
403,04/28/2024 18:20:00,16.00,937.92,,,,
404,04/28/2024 18:25:00,16.08,1498.88,,,,
405,04/28/2024 18:30:00,16.39,825.60,,,,
406,04/28/2024 18:35:00,16.39,806.72,,,,
407,04/28/2024 18:40:00,16.39,485.92,,,,
408,04/28/2024 18:45:00,16.30,517.44,,,,
409,04/28/2024 18:50:00,16.39,571.04,,,,
410,04/28/2024 18:55:00,16.47,250.56,,,,
411,04/28/2024 19:00:00,16.51,252.56,,,,
412,04/28/2024 19:05:00,16.51,225.20,,,,
413,04/28/2024 19:10:00,16.51,130.44,,,,
414,04/28/2024 19:15:00,16.56,209.84,,,,
415,04/28/2024 19:20:00,16.47,100.04,,,,
416,04/28/2024 19:25:00,16.51,160.84,,,,
417,04/28/2024 19:30:00,16.47,41.24,,,,
418,04/28/2024 19:35:00,16.43,1.64,,,,
419,04/28/2024 19:40:00,16.39,8.06,,,,
420,04/28/2024 19:45:00,16.34,1.72,,,,
421,04/28/2024 19:50:00,16.30,3.01,,,,
422,04/28/2024 19:55:00,16.30,0.64,,,,
423,04/28/2024 20:00:00,16.26,0.50,,,,
424,04/28/2024 20:05:00,16.21,0.00,,,,
425,04/28/2024 20:10:00,16.17,0.00,,,,
426,04/28/2024 20:15:00,16.21,0.00,,,,
427,04/28/2024 20:20:00,16.13,0.00,,,,
428,04/28/2024 20:25:00,16.13,0.00,,,,
429,04/28/2024 20:30:00,16.08,0.00,,,,
430,04/28/2024 20:35:00,16.13,0.00,,,,
431,04/28/2024 20:40:00,16.08,0.00,,,,
432,04/28/2024 20:45:00,16.08,0.00,,,,
433,04/28/2024 20:50:00,16.00,0.00,,,,
434,04/28/2024 20:55:00,15.96,0.00,,,,
435,04/28/2024 21:00:00,16.00,0.00,,,,
436,04/28/2024 21:05:00,15.96,0.00,,,,
437,04/28/2024 21:10:00,15.96,0.00,,,,
438,04/28/2024 21:15:00,15.96,0.00,,,,
439,04/28/2024 21:20:00,15.91,0.00,,,,
440,04/28/2024 21:25:00,15.96,0.00,,,,
441,04/28/2024 21:30:00,15.91,0.00,,,,
442,04/28/2024 21:35:00,15.91,0.00,,,,
443,04/28/2024 21:40:00,15.87,0.00,,,,
444,04/28/2024 21:45:00,15.87,0.00,,,,
445,04/28/2024 21:50:00,15.91,0.00,,,,
446,04/28/2024 21:55:00,15.83,0.00,,,,
447,04/28/2024 22:00:00,15.83,0.00,,,,
448,04/28/2024 22:05:00,15.83,0.00,,,,
449,04/28/2024 22:10:00,15.78,0.00,,,,
450,04/28/2024 22:15:00,15.74,0.00,,,,
451,04/28/2024 22:20:00,15.78,0.00,,,,
452,04/28/2024 22:25:00,15.78,0.00,,,,
453,04/28/2024 22:30:00,15.70,0.00,,,,
454,04/28/2024 22:35:00,15.70,0.00,,,,
455,04/28/2024 22:40:00,15.70,0.00,,,,
456,04/28/2024 22:45:00,15.70,0.00,,,,
457,04/28/2024 22:50:00,15.70,0.00,,,,
458,04/28/2024 22:55:00,15.61,0.00,,,,
459,04/28/2024 23:00:00,15.57,0.00,,,,
460,04/28/2024 23:05:00,15.61,0.00,,,,
461,04/28/2024 23:10:00,15.57,0.00,,,,
462,04/28/2024 23:15:00,15.53,0.00,,,,
463,04/28/2024 23:20:00,15.57,0.00,,,,
464,04/28/2024 23:25:00,15.53,0.00,,,,
465,04/28/2024 23:30:00,15.48,0.00,,,,
466,04/28/2024 23:35:00,15.40,0.00,,,,
467,04/28/2024 23:40:00,15.40,0.00,,,,
468,04/28/2024 23:45:00,15.44,0.00,,,,
469,04/28/2024 23:50:00,15.40,0.00,,,,
470,04/28/2024 23:55:00,15.40,0.00,,,,
471,04/29/2024 00:00:00,15.31,0.00,,,,
472,04/29/2024 00:05:00,15.36,0.00,,,,
473,04/29/2024 00:10:00,15.36,0.00,,,,
474,04/29/2024 00:15:00,15.40,0.00,,,,
475,04/29/2024 00:20:00,15.31,0.00,,,,
476,04/29/2024 00:25:00,15.27,0.00,,,,
477,04/29/2024 00:30:00,15.27,0.00,,,,
478,04/29/2024 00:35:00,15.31,0.00,,,,
479,04/29/2024 00:40:00,15.23,0.00,,,,
480,04/29/2024 00:45:00,15.18,0.00,,,,
481,04/29/2024 00:50:00,15.18,0.00,,,,
482,04/29/2024 00:55:00,15.14,0.00,,,,
483,04/29/2024 01:00:00,15.10,0.00,,,,
484,04/29/2024 01:05:00,15.10,0.00,,,,
485,04/29/2024 01:10:00,15.06,0.00,,,,
486,04/29/2024 01:15:00,15.06,0.00,,,,
487,04/29/2024 01:20:00,15.06,0.00,,,,
488,04/29/2024 01:25:00,15.01,0.00,,,,
489,04/29/2024 01:30:00,14.97,0.00,,,,
490,04/29/2024 01:35:00,14.93,0.00,,,,
491,04/29/2024 01:40:00,14.93,0.00,,,,
492,04/29/2024 01:45:00,14.93,0.00,,,,
493,04/29/2024 01:50:00,14.93,0.00,,,,
494,04/29/2024 01:55:00,14.88,0.00,,,,
495,04/29/2024 02:00:00,14.88,0.00,,,,
496,04/29/2024 02:05:00,14.88,0.00,,,,
497,04/29/2024 02:10:00,14.84,0.00,,,,
498,04/29/2024 02:15:00,14.75,0.00,,,,
499,04/29/2024 02:20:00,14.75,0.00,,,,
500,04/29/2024 02:25:00,14.71,0.00,,,,
501,04/29/2024 02:30:00,14.71,0.00,,,,
502,04/29/2024 02:35:00,14.67,0.00,,,,
503,04/29/2024 02:40:00,14.75,0.00,,,,
504,04/29/2024 02:45:00,14.71,0.00,,,,
505,04/29/2024 02:50:00,14.67,0.00,,,,
