#,Date-Time (PDT),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
128,04/27/2024 17:05:00,17.67,26152.96,,,,
129,04/27/2024 17:10:00,17.67,20802.56,,,,
130,04/27/2024 17:15:00,17.50,26275.84,,,,
131,04/27/2024 17:20:00,17.59,59740.16,,,,
132,04/27/2024 17:25:00,17.16,15800.32,,,,
133,04/27/2024 17:30:00,17.03,49602.56,,,,
134,04/27/2024 17:35:00,16.90,27269.12,,,,
135,04/27/2024 17:40:00,16.60,15375.36,,,,
136,04/27/2024 17:45:00,16.60,11991.04,,,,
137,04/27/2024 17:50:00,16.51,25384.96,,,,
138,04/27/2024 17:55:00,16.34,8829.44,,,,
139,04/27/2024 18:00:00,16.26,15416.32,,,,
140,04/27/2024 18:05:00,16.04,9692.16,,,,
141,04/27/2024 18:10:00,15.91,10808.32,,,,
142,04/27/2024 18:15:00,15.48,4572.16,,,,
143,04/27/2024 18:20:00,15.40,4133.12,,,,
144,04/27/2024 18:25:00,15.36,5026.56,,,,
145,04/27/2024 18:30:00,15.27,4065.28,,,,
146,04/27/2024 18:35:00,15.27,2672.64,,,,
147,04/27/2024 18:40:00,15.23,4252.16,,,,
148,04/27/2024 18:45:00,15.23,1591.04,,,,
149,04/27/2024 18:50:00,15.14,2207.36,,,,
150,04/27/2024 18:55:00,15.14,2228.48,,,,
151,04/27/2024 19:00:00,15.14,2421.12,,,,
152,04/27/2024 19:05:00,15.06,1216.96,,,,
153,04/27/2024 19:10:00,15.01,1522.56,,,,
154,04/27/2024 19:15:00,15.01,1100.80,,,,
155,04/27/2024 19:20:00,14.93,911.68,,,,
156,04/27/2024 19:25:00,14.93,789.76,,,,
157,04/27/2024 19:30:00,14.88,474.72,,,,
158,04/27/2024 19:35:00,14.84,495.52,,,,
159,04/27/2024 19:40:00,14.88,156.52,,,,
160,04/27/2024 19:45:00,14.84,52.82,,,,
161,04/27/2024 19:50:00,14.84,25.26,,,,
162,04/27/2024 19:55:00,14.75,6.52,,,,
163,04/27/2024 20:00:00,14.80,2.25,,,,
164,04/27/2024 20:05:00,14.75,0.90,,,,
165,04/27/2024 20:10:00,14.75,0.00,,,,
166,04/27/2024 20:15:00,14.75,0.00,,,,
167,04/27/2024 20:20:00,14.75,0.00,,,,
168,04/27/2024 20:25:00,14.75,0.00,,,,
169,04/27/2024 20:30:00,14.75,0.00,,,,
170,04/27/2024 20:35:00,14.71,0.00,,,,
171,04/27/2024 20:40:00,14.71,0.00,,,,
172,04/27/2024 20:45:00,14.75,0.00,,,,
173,04/27/2024 20:50:00,14.75,0.00,,,,
174,04/27/2024 20:55:00,14.71,0.00,,,,
175,04/27/2024 21:00:00,14.71,0.00,,,,
176,04/27/2024 21:05:00,14.67,0.00,,,,
177,04/27/2024 21:10:00,14.71,0.00,,,,
178,04/27/2024 21:15:00,14.75,0.00,,,,
179,04/27/2024 21:20:00,14.67,0.00,,,,
180,04/27/2024 21:25:00,14.71,0.00,,,,
181,04/27/2024 21:30:00,14.71,0.00,,,,
182,04/27/2024 21:35:00,14.71,0.00,,,,
183,04/27/2024 21:40:00,14.75,0.00,,,,
184,04/27/2024 21:45:00,14.71,0.00,,,,
185,04/27/2024 21:50:00,14.71,0.00,,,,
186,04/27/2024 21:55:00,14.71,0.00,,,,
187,04/27/2024 22:00:00,14.67,0.00,,,,
188,04/27/2024 22:05:00,14.71,0.00,,,,
189,04/27/2024 22:10:00,14.71,0.00,,,,
190,04/27/2024 22:15:00,14.67,0.00,,,,
191,04/27/2024 22:20:00,14.71,0.00,,,,
192,04/27/2024 22:25:00,14.67,0.00,,,,
193,04/27/2024 22:30:00,14.67,0.00,,,,
194,04/27/2024 22:35:00,14.71,0.00,,,,
195,04/27/2024 22:40:00,14.71,0.00,,,,
196,04/27/2024 22:45:00,14.67,0.00,,,,
197,04/27/2024 22:50:00,14.71,0.00,,,,
198,04/27/2024 22:55:00,14.71,0.00,,,,
199,04/27/2024 23:00:00,14.67,0.00,,,,
200,04/27/2024 23:05:00,14.67,0.00,,,,
201,04/27/2024 23:10:00,14.67,0.00,,,,
202,04/27/2024 23:15:00,14.71,0.00,,,,
203,04/27/2024 23:20:00,14.71,0.00,,,,
204,04/27/2024 23:25:00,14.67,0.00,,,,
205,04/27/2024 23:30:00,14.67,0.00,,,,
206,04/27/2024 23:35:00,14.67,0.00,,,,
207,04/27/2024 23:40:00,14.71,0.00,,,,
208,04/27/2024 23:45:00,14.71,0.00,,,,
209,04/27/2024 23:50:00,14.71,0.00,,,,
210,04/27/2024 23:55:00,14.67,0.00,,,,
211,04/28/2024 00:00:00,14.67,0.00,,,,
212,04/28/2024 00:05:00,14.67,0.00,,,,
213,04/28/2024 00:10:00,14.63,0.00,,,,
214,04/28/2024 00:15:00,14.67,0.00,,,,
215,04/28/2024 00:20:00,14.63,0.00,,,,
216,04/28/2024 00:25:00,14.58,0.00,,,,
217,04/28/2024 00:30:00,14.50,0.00,,,,
218,04/28/2024 00:35:00,14.45,0.00,,,,
219,04/28/2024 00:40:00,14.33,0.00,,,,
220,04/28/2024 00:45:00,14.28,0.00,,,,
221,04/28/2024 00:50:00,14.33,0.00,,,,
222,04/28/2024 00:55:00,14.28,0.00,,,,
223,04/28/2024 01:00:00,14.20,0.00,,,,
224,04/28/2024 01:05:00,14.15,0.00,,,,
225,04/28/2024 01:10:00,14.15,0.00,,,,
226,04/28/2024 01:15:00,14.07,0.00,,,,
227,04/28/2024 01:20:00,14.03,0.00,,,,
228,04/28/2024 01:25:00,14.07,0.00,,,,
229,04/28/2024 01:30:00,14.07,0.00,,,,
230,04/28/2024 01:35:00,13.98,0.00,,,,
231,04/28/2024 01:40:00,14.11,0.00,,,,
232,04/28/2024 01:45:00,14.03,0.00,,,,
233,04/28/2024 01:50:00,13.94,0.00,,,,
234,04/28/2024 01:55:00,13.98,0.00,,,,
235,04/28/2024 02:00:00,14.07,0.00,,,,
236,04/28/2024 02:05:00,14.07,0.00,,,,
237,04/28/2024 02:10:00,14.03,0.00,,,,
238,04/28/2024 02:15:00,13.98,0.00,,,,
239,04/28/2024 02:20:00,14.11,0.00,,,,
240,04/28/2024 02:25:00,14.11,0.00,,,,
241,04/28/2024 02:30:00,14.11,0.00,,,,
242,04/28/2024 02:35:00,14.15,0.00,,,,
243,04/28/2024 02:40:00,14.15,0.00,,,,
244,04/28/2024 02:45:00,14.11,0.00,,,,
245,04/28/2024 02:50:00,14.11,0.00,,,,
246,04/28/2024 02:55:00,14.07,0.00,,,,
247,04/28/2024 03:00:00,14.07,0.00,,,,
248,04/28/2024 03:05:00,14.07,0.00,,,,
249,04/28/2024 03:10:00,13.98,0.00,,,,
250,04/28/2024 03:15:00,14.03,0.00,,,,
251,04/28/2024 03:20:00,13.98,0.00,,,,
252,04/28/2024 03:25:00,13.98,0.00,,,,
253,04/28/2024 03:30:00,13.90,0.00,,,,
254,04/28/2024 03:35:00,13.90,0.00,,,,
255,04/28/2024 03:40:00,13.81,0.00,,,,
256,04/28/2024 03:45:00,13.81,0.00,,,,
257,04/28/2024 03:50:00,13.81,0.00,,,,
258,04/28/2024 03:55:00,13.73,0.00,,,,
259,04/28/2024 04:00:00,13.73,0.00,,,,
260,04/28/2024 04:05:00,13.60,0.00,,,,
261,04/28/2024 04:10:00,13.60,0.00,,,,
262,04/28/2024 04:15:00,13.51,0.00,,,,
263,04/28/2024 04:20:00,13.47,0.00,,,,
264,04/28/2024 04:25:00,13.43,0.00,,,,
265,04/28/2024 04:30:00,13.38,0.00,,,,
266,04/28/2024 04:35:00,13.34,0.00,,,,
267,04/28/2024 04:40:00,13.21,0.00,,,,
268,04/28/2024 04:45:00,13.12,0.00,,,,
269,04/28/2024 04:50:00,12.91,0.00,,,,
270,04/28/2024 04:55:00,13.00,0.00,,,,
271,04/28/2024 05:00:00,12.91,0.00,,,,
272,04/28/2024 05:05:00,12.87,0.00,,,,
273,04/28/2024 05:10:00,12.70,0.00,,,,
274,04/28/2024 05:15:00,12.22,0.00,,,,
275,04/28/2024 05:20:00,11.75,0.00,,,,
276,04/28/2024 05:25:00,11.75,0.00,,,,
277,04/28/2024 05:30:00,11.92,0.22,,,,
278,04/28/2024 05:35:00,11.88,1.35,,,,
279,04/28/2024 05:40:00,11.54,4.27,,,,
280,04/28/2024 05:45:00,11.32,13.30,,,,
281,04/28/2024 05:50:00,11.15,42.46,,,,
282,04/28/2024 05:55:00,11.15,115.00,,,,
283,04/28/2024 06:00:00,11.02,272.72,,,,
284,04/28/2024 06:05:00,11.11,559.84,,,,
285,04/28/2024 06:10:00,11.15,985.60,,,,
286,04/28/2024 06:15:00,11.24,1619.84,,,,
287,04/28/2024 06:20:00,11.28,2446.72,,,,
288,04/28/2024 06:25:00,11.45,3328.00,,,,
289,04/28/2024 06:30:00,12.01,5432.32,,,,
290,04/28/2024 06:35:00,13.08,7311.36,,,,
291,04/28/2024 06:40:00,14.03,9231.36,,,,
292,04/28/2024 06:45:00,14.93,11294.72,,,,
293,04/28/2024 06:50:00,15.83,13649.92,,,,
294,04/28/2024 06:55:00,16.69,15339.52,,,,
295,04/28/2024 07:00:00,17.50,17669.12,,,,
296,04/28/2024 07:05:00,18.36,20142.08,,,,
297,04/28/2024 07:10:00,19.17,22528.00,,,,
298,04/28/2024 07:15:00,19.69,25036.80,,,,
299,04/28/2024 07:20:00,20.37,27279.36,,,,
300,04/28/2024 07:25:00,20.16,31088.64,,,,
301,04/28/2024 07:30:00,20.16,20290.56,,,,
302,04/28/2024 07:35:00,21.88,34344.96,,,,
303,04/28/2024 07:40:00,22.52,36853.76,,,,
304,04/28/2024 07:45:00,22.13,39690.24,,,,
305,04/28/2024 07:50:00,23.51,40826.88,,,,
306,04/28/2024 07:55:00,24.36,42332.16,,,,
307,04/28/2024 08:00:00,25.27,44072.96,,,,
308,04/28/2024 08:05:00,25.91,45936.64,,,,
309,04/28/2024 08:10:00,26.55,48373.76,,,,
310,04/28/2024 08:15:00,27.02,50831.36,,,,
311,04/28/2024 08:20:00,27.50,54067.20,,,,
312,04/28/2024 08:25:00,28.44,56975.36,,,,
313,04/28/2024 08:30:00,29.34,60477.44,,,,
314,04/28/2024 08:35:00,29.94,65044.48,,,,
315,04/28/2024 08:40:00,30.71,71454.72,,,,
316,04/28/2024 08:45:00,31.40,78888.96,,,,
317,04/28/2024 08:50:00,32.09,80732.16,,,,
318,04/28/2024 08:55:00,32.69,79728.64,,,,
319,04/28/2024 09:00:00,33.25,78172.16,,,,
320,04/28/2024 09:05:00,33.93,76738.56,,,,
321,04/28/2024 09:10:00,34.75,76185.60,,,,
322,04/28/2024 09:15:00,34.88,76062.72,,,,
323,04/28/2024 09:20:00,31.87,78786.56,,,,
324,04/28/2024 09:25:00,32.52,79011.84,,,,
325,04/28/2024 09:30:00,29.81,79298.56,,,,
326,04/28/2024 09:35:00,30.63,80138.24,,,,
327,04/28/2024 09:40:00,31.57,81080.32,,,,
328,04/28/2024 09:45:00,30.80,81858.56,,,,
329,04/28/2024 09:50:00,28.91,82513.92,,,,
330,04/28/2024 09:55:00,28.10,81305.60,,,,
331,04/28/2024 10:00:00,27.80,85893.12,,,,
332,04/28/2024 10:05:00,26.34,87285.76,,,,
333,04/28/2024 10:10:00,26.47,88432.64,,,,
334,04/28/2024 10:15:00,27.24,90767.36,,,,
335,04/28/2024 10:20:00,26.12,90685.44,,,,
336,04/28/2024 10:25:00,25.61,91586.56,,,,
337,04/28/2024 10:30:00,26.72,94781.44,,,,
338,04/28/2024 10:35:00,26.17,93265.92,,,,
339,04/28/2024 10:40:00,25.01,94085.12,,,,
340,04/28/2024 10:45:00,25.35,86999.04,,,,
341,04/28/2024 10:50:00,25.39,56422.40,,,,
342,04/28/2024 10:55:00,24.75,96870.40,,,,
343,04/28/2024 11:00:00,24.32,87203.84,,,,
344,04/28/2024 11:05:00,24.84,98631.68,,,,
345,04/28/2024 11:10:00,24.02,95641.60,,,,
346,04/28/2024 11:15:00,24.41,31068.16,,,,
347,04/28/2024 11:20:00,23.98,102318.08,,,,
348,04/28/2024 11:25:00,24.11,84705.28,,,,
349,04/28/2024 11:30:00,24.11,102440.96,,,,
350,04/28/2024 11:35:00,23.42,64061.44,,,,
351,04/28/2024 11:40:00,22.91,39127.04,,,,
352,04/28/2024 11:45:00,23.38,80936.96,,,,
353,04/28/2024 11:50:00,23.08,94494.72,,,,
354,04/28/2024 11:55:00,23.21,73912.32,,,,
355,04/28/2024 12:00:00,23.03,96501.76,,,,
356,04/28/2024 12:05:00,22.56,45875.20,,,,
357,04/28/2024 12:10:00,22.39,81162.24,,,,
358,04/28/2024 12:15:00,22.73,64573.44,,,,
359,04/28/2024 12:20:00,22.69,76103.68,,,,
360,04/28/2024 12:25:00,22.18,53923.84,,,,
361,04/28/2024 12:30:00,22.78,57712.64,,,,
362,04/28/2024 12:35:00,23.03,107847.68,,,,
363,04/28/2024 12:40:00,22.31,57323.52,,,,
364,04/28/2024 12:45:00,22.73,38062.08,,,,
365,04/28/2024 12:50:00,22.61,25077.76,,,,
366,04/28/2024 12:55:00,22.43,91668.48,,,,
367,04/28/2024 13:00:00,22.91,109035.52,,,,
368,04/28/2024 13:05:00,22.65,74506.24,,,,
369,04/28/2024 13:10:00,22.78,103587.84,,,,
370,04/28/2024 13:15:00,22.31,98304.00,,,,
371,04/28/2024 13:20:00,22.48,75530.24,,,,
372,04/28/2024 13:25:00,22.26,90685.44,,,,
373,04/28/2024 13:30:00,22.22,53391.36,,,,
374,04/28/2024 13:35:00,22.39,105840.64,,,,
375,04/28/2024 13:40:00,22.18,72355.84,,,,
376,04/28/2024 13:45:00,22.39,68976.64,,,,
377,04/28/2024 13:50:00,21.75,76165.12,,,,
378,04/28/2024 13:55:00,22.22,64491.52,,,,
379,04/28/2024 14:00:00,21.62,80384.00,,,,
380,04/28/2024 14:05:00,21.83,76615.68,,,,
381,04/28/2024 14:10:00,21.75,45772.80,,,,
382,04/28/2024 14:15:00,21.88,97075.20,,,,
383,04/28/2024 14:20:00,21.70,86589.44,,,,
384,04/28/2024 14:25:00,21.75,35502.08,,,,
385,04/28/2024 14:30:00,21.32,69898.24,,,,
386,04/28/2024 14:35:00,21.79,87326.72,,,,
387,04/28/2024 14:40:00,21.75,48824.32,,,,
388,04/28/2024 14:45:00,21.75,45158.40,,,,
389,04/28/2024 14:50:00,21.23,62812.16,,,,
390,04/28/2024 14:55:00,21.36,72622.08,,,,
391,04/28/2024 15:00:00,21.45,73072.64,,,,
392,04/28/2024 15:05:00,21.32,78110.72,,,,
393,04/28/2024 15:10:00,21.53,93429.76,,,,
394,04/28/2024 15:15:00,21.40,36894.72,,,,
395,04/28/2024 15:20:00,21.19,35799.04,,,,
396,04/28/2024 15:25:00,21.49,90357.76,,,,
397,04/28/2024 15:30:00,21.32,63877.12,,,,
398,04/28/2024 15:35:00,21.23,89006.08,,,,
399,04/28/2024 15:40:00,20.93,30586.88,,,,
400,04/28/2024 15:45:00,21.58,86138.88,,,,
401,04/28/2024 15:50:00,20.93,43929.60,,,,
402,04/28/2024 15:55:00,20.89,67317.76,,,,
403,04/28/2024 16:00:00,20.89,56258.56,,,,
404,04/28/2024 16:05:00,20.63,51916.80,,,,
405,04/28/2024 16:10:00,20.37,50196.48,,,,
406,04/28/2024 16:15:00,20.55,76103.68,,,,
407,04/28/2024 16:20:00,20.50,75878.40,,,,
408,04/28/2024 16:25:00,19.95,12170.24,,,,
409,04/28/2024 16:30:00,19.95,71946.24,,,,
410,04/28/2024 16:35:00,19.95,32276.48,,,,
411,04/28/2024 16:40:00,20.07,28641.28,,,,
412,04/28/2024 16:45:00,19.99,38594.56,,,,
413,04/28/2024 16:50:00,19.52,40581.12,,,,
414,04/28/2024 16:55:00,19.69,63713.28,,,,
415,04/28/2024 17:00:00,19.47,13977.60,,,,
416,04/28/2024 17:05:00,19.52,29941.76,,,,
417,04/28/2024 17:10:00,19.22,27197.44,,,,
418,04/28/2024 17:15:00,19.17,29532.16,,,,
419,04/28/2024 17:20:00,19.09,15226.88,,,,
420,04/28/2024 17:25:00,18.92,24053.76,,,,
421,04/28/2024 17:30:00,18.66,23736.32,,,,
422,04/28/2024 17:35:00,18.74,8611.84,,,,
423,04/28/2024 17:40:00,18.62,28416.00,,,,
424,04/28/2024 17:45:00,18.32,28344.32,,,,
425,04/28/2024 17:50:00,18.32,16235.52,,,,
426,04/28/2024 17:55:00,18.14,14745.60,,,,
427,04/28/2024 18:00:00,18.10,9950.72,,,,
428,04/28/2024 18:05:00,17.76,24166.40,,,,
429,04/28/2024 18:10:00,17.72,18816.00,,,,
430,04/28/2024 18:15:00,17.29,4136.96,,,,
431,04/28/2024 18:20:00,17.16,8302.08,,,,
432,04/28/2024 18:25:00,17.11,7232.00,,,,
433,04/28/2024 18:30:00,17.07,3420.16,,,,
434,04/28/2024 18:35:00,17.03,4496.64,,,,
435,04/28/2024 18:40:00,16.99,3434.24,,,,
436,04/28/2024 18:45:00,16.94,6592.00,,,,
437,04/28/2024 18:50:00,16.86,3060.48,,,,
438,04/28/2024 18:55:00,16.90,1578.88,,,,
439,04/28/2024 19:00:00,16.81,3589.12,,,,
440,04/28/2024 19:05:00,16.73,2091.52,,,,
441,04/28/2024 19:10:00,16.64,2367.36,,,,
442,04/28/2024 19:15:00,16.60,1632.00,,,,
443,04/28/2024 19:20:00,16.60,1307.84,,,,
444,04/28/2024 19:25:00,16.56,888.00,,,,
445,04/28/2024 19:30:00,16.51,464.96,,,,
446,04/28/2024 19:35:00,16.51,369.28,,,,
447,04/28/2024 19:40:00,16.43,231.76,,,,
448,04/28/2024 19:45:00,16.43,60.98,,,,
449,04/28/2024 19:50:00,16.43,25.71,,,,
450,04/28/2024 19:55:00,16.39,7.65,,,,
451,04/28/2024 20:00:00,16.34,2.70,,,,
452,04/28/2024 20:05:00,16.34,0.22,,,,
453,04/28/2024 20:10:00,16.30,0.22,,,,
454,04/28/2024 20:15:00,16.30,0.00,,,,
455,04/28/2024 20:20:00,16.30,0.00,,,,
456,04/28/2024 20:25:00,16.26,0.00,,,,
457,04/28/2024 20:30:00,16.26,0.00,,,,
458,04/28/2024 20:35:00,16.17,0.00,,,,
459,04/28/2024 20:40:00,16.21,0.00,,,,
460,04/28/2024 20:45:00,16.13,0.00,,,,
461,04/28/2024 20:50:00,16.08,0.00,,,,
462,04/28/2024 20:55:00,16.04,0.00,,,,
463,04/28/2024 21:00:00,16.04,0.00,,,,
464,04/28/2024 21:05:00,16.08,0.00,,,,
465,04/28/2024 21:10:00,16.00,0.00,,,,
466,04/28/2024 21:15:00,15.96,0.00,,,,
467,04/28/2024 21:20:00,15.91,0.00,,,,
468,04/28/2024 21:25:00,15.83,0.00,,,,
469,04/28/2024 21:30:00,15.74,0.00,,,,
470,04/28/2024 21:35:00,15.53,0.00,,,,
471,04/28/2024 21:40:00,15.40,0.00,,,,
472,04/28/2024 21:45:00,15.31,0.00,,,,
473,04/28/2024 21:50:00,15.27,0.00,,,,
474,04/28/2024 21:55:00,15.27,0.00,,,,
475,04/28/2024 22:00:00,15.10,0.00,,,,
476,04/28/2024 22:05:00,15.06,0.00,,,,
477,04/28/2024 22:10:00,15.06,0.00,,,,
478,04/28/2024 22:15:00,15.01,0.00,,,,
479,04/28/2024 22:20:00,15.06,0.00,,,,
480,04/28/2024 22:25:00,14.88,0.00,,,,
481,04/28/2024 22:30:00,14.88,0.00,,,,
482,04/28/2024 22:35:00,14.93,0.00,,,,
483,04/28/2024 22:40:00,14.80,0.00,,,,
484,04/28/2024 22:45:00,14.75,0.00,,,,
485,04/28/2024 22:50:00,14.71,0.00,,,,
486,04/28/2024 22:55:00,14.58,0.00,,,,
487,04/28/2024 23:00:00,14.58,0.00,,,,
488,04/28/2024 23:05:00,14.50,0.00,,,,
489,04/28/2024 23:10:00,14.54,0.00,,,,
490,04/28/2024 23:15:00,14.50,0.00,,,,
491,04/28/2024 23:20:00,14.45,0.00,,,,
492,04/28/2024 23:25:00,14.37,0.00,,,,
493,04/28/2024 23:30:00,14.28,0.00,,,,
494,04/28/2024 23:35:00,14.24,0.00,,,,
495,04/28/2024 23:40:00,14.33,0.00,,,,
496,04/28/2024 23:45:00,14.24,0.00,,,,
497,04/28/2024 23:50:00,14.20,0.00,,,,
498,04/28/2024 23:55:00,14.15,0.00,,,,
499,04/29/2024 00:00:00,14.11,0.00,,,,
500,04/29/2024 00:05:00,14.07,0.00,,,,
501,04/29/2024 00:10:00,14.11,0.00,,,,
502,04/29/2024 00:15:00,14.11,0.00,,,,
503,04/29/2024 00:20:00,14.07,0.00,,,,
