YY,MM,DD,hh,mm,WVHT,WTMP
2023,1,2,16,56,1.03,14.9
2023,1,2,17,26,1.08,14.9
2023,1,2,17,56,1.09,15
2023,1,2,18,26,1.15,14.9
2023,1,2,18,56,1.14,15
2023,1,2,19,26,1.11,15
2023,1,2,19,56,1.1,14.9
2023,1,2,20,26,1.13,15.1
2023,1,2,20,56,1.11,14.9
2023,1,2,21,26,1.24,14.9
2023,1,2,21,56,1.1,15
2023,1,2,22,26,1.16,15.1
2023,1,2,22,56,1.11,15.2
2023,1,2,23,26,1.06,15.1
2023,1,2,23,56,0.99,15
2023,1,3,0,26,1.13,15
2023,1,3,0,56,0.97,14.9
2023,1,3,1,26,1.02,14.7
2023,1,3,1,56,1.13,14.5
2023,1,3,2,26,1.15,14.2
2023,1,3,2,56,1.18,14.1
2023,1,3,3,26,1.03,14.1
2023,1,3,3,56,1.01,14.1
2023,1,3,4,26,1.02,14.2
2023,1,3,4,56,1.15,14.2
2023,1,3,5,26,1.1,14.3
2023,1,3,5,56,1.13,14.4
2023,1,3,6,26,1.23,14.4
2023,1,3,10,26,1.04,14.1
2023,1,3,12,26,0.99,14.1
2023,1,3,12,56,1.02,14.1
2023,1,3,13,26,1.08,14.2
2023,1,3,13,56,1.05,14.1
2023,1,3,14,26,1.06,14
2023,1,3,14,56,0.98,13.8
2023,1,3,15,26,1,14
2023,1,3,15,56,1.08,14.2
2023,1,3,16,26,1.22,14.2
2023,1,3,16,56,1.3,14.1
2023,1,3,17,26,1.44,14.5
2023,1,3,17,56,1.47,14.6
2023,1,3,18,26,1.54,14.6
2023,1,3,18,56,1.5,14.4
2023,1,3,19,26,1.59,14.6
2023,1,3,19,56,1.64,14.6
2023,1,3,20,26,1.65,14.6
2023,1,3,20,56,1.62,14.5
2023,1,3,21,26,1.77,14.5
2023,1,3,21,56,1.81,14.5
2023,1,3,22,26,1.72,14.5
2023,1,3,22,56,1.77,14.5
2023,1,3,23,26,1.99,14.5
2023,1,3,23,56,2.01,14.5
2023,1,4,0,26,1.96,14.4
2023,1,4,0,56,2.03,14.4
2023,1,4,1,26,2.2,14.3
2023,1,4,1,56,2.08,14.3
2023,1,4,2,26,2.21,14.4
2023,1,4,2,56,2.16,14.5
2023,1,4,3,26,2.13,14.5
2023,1,4,3,56,2.11,14.5
2023,1,4,4,26,2.29,14.5
2023,1,4,4,56,2.21,14.5
2023,1,4,5,26,2.08,14.6
2023,1,4,5,56,2.08,14.6
2023,1,4,6,26,2.13,14.6
2023,1,4,6,56,2.14,14.6
2023,1,4,7,26,1.94,14.6
2023,1,4,7,56,1.87,14.6
2023,1,4,8,26,1.87,14.6
2023,1,4,8,56,1.94,14.6
2023,1,4,9,26,1.78,14.6
2023,1,4,9,56,1.85,14.6
2023,1,4,10,26,1.83,14.6
2023,1,4,10,56,1.77,14.6
2023,1,4,11,26,1.93,14.6
2023,1,4,11,56,1.88,14.6
2023,1,4,12,26,1.93,14.6
2023,1,4,12,56,1.88,14.6
2023,1,4,13,26,2.01,14.7
2023,1,4,13,56,1.94,14.8
2023,1,4,14,26,1.79,14.8
2023,1,4,14,56,1.78,14.8
2023,1,4,15,26,1.96,14.8
2023,1,4,15,56,1.75,14.9
2023,1,4,16,26,1.74,14.8
2023,1,4,16,56,1.76,14.9
2023,1,4,17,26,1.71,14.7
2023,1,4,17,56,1.65,14.7
2023,1,4,18,26,1.73,14.7
2023,1,4,18,56,1.66,14.7
2023,1,4,19,26,1.57,14.8
2023,1,4,19,56,1.63,14.8
2023,1,4,20,26,1.58,14.8
2023,1,4,20,56,1.53,14.8
2023,1,4,21,26,1.62,14.9
2023,1,4,21,56,1.52,14.9
2023,1,4,22,26,1.37,14.9
2023,1,4,22,56,1.45,14.9
2023,1,4,23,26,1.42,14.9
2023,1,4,23,56,1.58,14.9
2023,1,5,0,26,1.32,14.9
2023,1,5,0,56,1.35,14.9
2023,1,5,1,26,1.37,15
2023,1,5,1,56,1.28,15
2023,1,5,2,26,1.23,15
2023,1,5,2,56,1.27,14.9
2023,1,5,3,26,1.37,15
2023,1,5,3,56,1.21,15
2023,1,5,4,26,1.22,15
2023,1,5,4,56,1.19,15
2023,1,5,5,26,1.09,15
2023,1,5,5,56,1.03,14.9
2023,1,5,6,26,1.11,14.9
2023,1,5,6,56,1.14,14.9
2023,1,5,7,26,1.1,14.9
2023,1,5,7,56,1.06,14.9
2023,1,5,8,26,1.1,15
2023,1,5,8,56,1.09,15
2023,1,5,9,26,1.14,14.9
2023,1,5,9,56,1.26,14.9
2023,1,5,10,26,1.37,14.9
2023,1,5,10,56,1.43,14.9
2023,1,5,11,26,1.4,14.9
2023,1,5,11,56,1.43,14.9
2023,1,5,12,26,1.56,14.9
2023,1,5,12,56,1.54,14.9
2023,1,5,13,26,1.69,15
2023,1,5,13,56,1.74,14.9
2023,1,5,14,26,1.87,15
2023,1,5,14,56,1.92,15
2023,1,5,15,26,2,15
2023,1,5,15,56,2.18,15
2023,1,5,16,26,2.35,15
2023,1,5,16,56,2.41,15
2023,1,5,17,26,2.38,15
2023,1,5,17,56,2.41,15
2023,1,5,18,26,2.37,15.1
2023,1,5,18,56,2.4,15.1
2023,1,5,19,26,2.41,15.1
2023,1,5,19,56,2.18,15.1
2023,1,5,20,26,2.31,15.1
2023,1,5,20,56,2.26,15.2
2023,1,5,21,26,2.51,15.2
2023,1,5,21,56,2.17,15.2
2023,1,5,22,26,2.45,15.1
2023,1,5,22,56,2.82,15.1
2023,1,5,23,26,2.87,15.1
2023,1,5,23,56,2.94,15
2023,1,6,0,26,2.98,15
2023,1,6,0,56,3.06,15
2023,1,6,1,26,3.65,15
2023,1,6,1,56,3.46,15
2023,1,6,2,26,3.32,15
2023,1,6,2,56,3.75,15
2023,1,6,3,26,3.42,15
2023,1,6,3,56,3.73,15
2023,1,6,4,26,3.31,15
2023,1,6,4,56,3.45,15
2023,1,6,5,26,3.11,15.1
2023,1,6,5,56,3.26,15
2023,1,6,6,26,3.28,15.1
2023,1,6,6,56,3.36,14.9
2023,1,6,7,26,3.28,14.9
2023,1,6,7,56,3.06,14.9
2023,1,6,8,26,3.21,15
2023,1,6,8,56,3.15,14.9
2023,1,6,9,26,3.18,14.9
2023,1,6,9,56,3.09,14.8
2023,1,6,10,26,2.76,14.9
2023,1,6,10,56,2.75,14.9
2023,1,6,11,26,3.11,14.9
2023,1,6,11,56,2.83,14.9
2023,1,6,12,26,2.46,14.8
2023,1,6,12,56,2.94,14.6
2023,1,6,13,26,2.66,14.4
2023,1,6,13,56,2.53,14.3
2023,1,6,14,26,2.7,14.2
2023,1,6,14,56,2.67,14.2
2023,1,6,15,26,2.18,14.3
2023,1,6,15,56,2.42,14.2
2023,1,6,16,26,2.41,14.5
2023,1,6,16,56,2.27,14.3
2023,1,6,17,26,2.14,14.2
2023,1,6,17,56,2.04,14.6
2023,1,6,18,26,2.2,14.7
2023,1,6,18,56,1.95,15
2023,1,6,19,26,2.15,15.3
2023,1,6,19,56,1.96,15.5
2023,1,6,20,26,2.05,15.6
2023,1,6,20,56,1.86,15.6
2023,1,6,21,26,1.99,15.5
2023,1,6,21,56,1.83,15.7
2023,1,6,22,26,2,16
2023,1,6,22,56,1.95,15.7
2023,1,6,23,26,1.93,15.6
2023,1,6,23,56,1.73,15.6
2023,1,7,0,26,1.99,15.5
2023,1,7,0,56,1.83,15.4
2023,1,7,1,26,1.78,15.3
2023,1,7,1,56,1.76,15.3
2023,1,7,2,26,1.89,15.3
2023,1,7,2,56,1.9,15.2
2023,1,7,3,26,1.76,15.2
2023,1,7,3,56,1.63,15.1
2023,1,7,4,26,1.74,15
2023,1,7,4,56,1.87,14.9
2023,1,7,5,26,1.71,14.9
2023,1,7,5,56,1.7,14.9
2023,1,7,6,26,1.75,15
2023,1,7,6,56,1.56,14.9
2023,1,7,7,26,1.71,14.9
2023,1,7,7,56,1.75,14.9
2023,1,7,8,26,1.52,14.9
2023,1,7,8,56,1.56,14.9
2023,1,7,9,26,1.48,14.9
2023,1,7,9,56,1.15,14.9
2023,1,7,10,26,1.41,14.8
2023,1,7,10,56,1.3,14.8
2023,1,7,11,26,1.4,14.8
2023,1,7,11,56,1.24,14.6
2023,1,7,12,26,1.04,14.6
2023,1,7,12,56,1.07,14.6
2023,1,7,13,26,1.06,14.6
2023,1,7,13,56,1.03,14.6
2023,1,7,14,26,1,14.7
2023,1,7,14,56,0.99,14.7
2023,1,7,15,26,0.96,14.6
2023,1,7,15,56,0.87,14.6
2023,1,7,16,26,1.02,14.6
2023,1,7,16,56,0.79,14.7
2023,1,7,17,26,0.89,14.7
2023,1,7,17,56,0.93,14.8
2023,1,7,18,26,0.94,14.6
2023,1,7,18,56,0.88,14.7
2023,1,7,19,26,0.89,14.9
2023,1,7,19,56,0.94,15.1
2023,1,7,20,26,0.88,15.2
2023,1,7,20,56,0.89,15.2
2023,1,7,21,26,0.86,15.3
2023,1,7,21,56,0.87,15.2
2023,1,7,22,26,0.84,15.2
2023,1,7,22,56,0.83,15.2
2023,1,7,23,26,0.86,15.2
2023,1,7,23,56,0.87,15.2
2023,1,8,0,26,0.84,15.2
2023,1,8,0,56,0.82,15.1
2023,1,8,1,26,0.98,15.1
2023,1,8,1,56,0.84,15.1
2023,1,8,2,26,1.04,15.1
2023,1,8,2,56,1.05,15.1
2023,1,8,3,26,1.15,15.1
2023,1,8,3,56,1.07,15.1
2023,1,8,4,26,1.17,15.1
2023,1,8,4,56,1.27,15
2023,1,8,5,26,1.34,15
2023,1,8,5,56,1.45,15
2023,1,8,6,26,1.55,15
2023,1,8,6,56,1.5,15
2023,1,8,7,26,1.8,14.9
2023,1,8,7,56,1.63,14.8
2023,1,8,8,26,1.52,14.9
2023,1,8,8,56,1.66,14.8
2023,1,8,9,26,1.47,14.7
2023,1,8,9,56,1.6,14.7
2023,1,8,10,26,1.52,14.8
2023,1,8,10,56,1.49,14.8
2023,1,8,11,26,1.46,14.9
2023,1,8,11,56,1.32,14.8
2023,1,8,12,26,1.2,14.7
2023,1,8,12,56,1.36,14.8
2023,1,8,13,26,1.32,14.7
2023,1,8,13,56,1.47,14.8
2023,1,8,14,26,1.39,14.8
2023,1,8,14,56,1.33,14.7
2023,1,8,15,26,1.41,14.7
2023,1,8,15,56,1.52,14.7
2023,1,8,16,26,1.36,14.7
2023,1,8,16,56,1.2,14.8
2023,1,8,17,26,1.47,14.8
2023,1,8,17,56,1.33,14.9
2023,1,8,18,26,1.27,15
2023,1,8,18,56,1.35,15
2023,1,8,19,26,1.37,15.1
2023,1,8,19,56,1.34,15.3
2023,1,8,20,26,1.31,15.3
2023,1,8,20,56,1.24,15.4
2023,1,8,21,26,1.32,15.4
2023,1,8,21,56,1.26,15.6
2023,1,8,22,26,1.2,15.5
2023,1,8,22,56,1.17,15.5
2023,1,8,23,26,1.23,15.5
2023,1,8,23,56,1.29,15.4
2023,1,9,0,26,1.19,15.4
2023,1,9,0,56,1.26,15.3
2023,1,9,1,26,1.12,15.2
2023,1,9,1,56,1.23,15.1
2023,1,9,2,26,1.12,15
2023,1,9,2,56,1.09,14.9
2023,1,9,3,26,1.17,14.9
2023,1,9,3,56,1.01,15
2023,1,9,4,26,1.08,14.7
2023,1,9,4,56,1.05,14.8
2023,1,9,5,26,1.14,14.8
2023,1,9,5,56,1.04,14.8
2023,1,9,6,26,0.93,14.8
2023,1,9,6,56,0.93,14.9
2023,1,9,7,26,0.91,14.9
2023,1,9,7,56,0.94,14.9
2023,1,9,8,26,1.09,14.9
2023,1,9,8,56,1.02,14.9
2023,1,9,9,26,1.03,14.9
2023,1,9,9,56,1.05,14.9
2023,1,9,10,26,0.98,15
2023,1,9,10,56,0.96,15
2023,1,9,11,26,1.07,15
2023,1,9,11,56,1.02,15
2023,1,9,12,26,1.03,15
2023,1,9,12,56,1.19,15
2023,1,9,13,26,1.1,15.1
2023,1,9,13,56,1.17,15.1
2023,1,9,14,26,1.24,15.1
2023,1,9,14,56,1.15,15.1
2023,1,9,15,26,1.24,15.1
2023,1,9,15,56,1.38,15.1
2023,1,9,16,26,1.19,15.1
2023,1,9,16,56,1.41,15.1
2023,1,9,17,26,1.46,15.1
2023,1,9,17,56,1.44,15.1
2023,1,9,18,26,1.46,15.1
2023,1,9,18,56,1.56,15.1
2023,1,9,19,26,1.86,15.1
2023,1,9,19,56,1.78,15.1
2023,1,9,20,26,1.87,15
2023,1,9,20,56,1.88,15
2023,1,9,21,26,2.05,15
2023,1,9,21,56,1.95,15
2023,1,9,22,26,1.89,15
2023,1,9,22,56,2.08,15
2023,1,9,23,26,2,15
2023,1,9,23,56,1.97,15
2023,1,10,0,26,1.96,15
2023,1,10,0,56,1.86,15
2023,1,10,1,26,1.78,15
2023,1,10,1,56,2,15
2023,1,10,2,26,2.07,15
2023,1,10,2,56,1.99,15
2023,1,10,3,26,2.07,15
2023,1,10,3,56,2.14,15
2023,1,10,4,26,1.97,15
2023,1,10,4,56,1.89,15
2023,1,10,5,26,1.97,15
2023,1,10,5,56,2.19,15
2023,1,10,6,26,2.03,15
2023,1,10,6,56,2.01,15
2023,1,10,7,26,2.01,15
2023,1,10,7,56,2.16,15
2023,1,10,8,26,2.17,15
2023,1,10,8,56,2.04,15
2023,1,10,9,26,2.09,15
2023,1,10,9,56,2.01,15
2023,1,10,10,26,1.98,15
2023,1,10,10,56,1.98,15
2023,1,10,11,26,1.98,15
2023,1,10,11,56,2.07,15
2023,1,10,12,26,1.97,15
2023,1,10,12,56,2.03,15
2023,1,10,13,26,1.86,15.1
2023,1,10,13,56,2,15
2023,1,10,14,26,1.93,15
2023,1,10,14,56,2.01,15
2023,1,10,15,26,1.85,15.1
2023,1,10,15,56,1.9,15.1
2023,1,10,16,26,1.82,15.1
2023,1,10,16,56,1.85,15.1
2023,1,10,17,26,1.72,15.1
2023,1,10,17,56,1.79,15.1
2023,1,10,18,26,1.91,15.1
2023,1,10,18,56,1.93,15.1
2023,1,10,19,26,1.94,15.2
2023,1,10,19,56,1.87,15.2
2023,1,10,20,26,1.92,15.2
2023,1,10,20,56,1.85,15.3
2023,1,10,21,26,1.87,15.2
2023,1,10,21,56,1.75,15.2
2023,1,10,22,26,1.86,15.2
2023,1,10,22,56,1.65,15.2
2023,1,10,23,26,1.71,15.2
2023,1,10,23,56,1.72,15.1
2023,1,11,0,26,1.56,15.1
2023,1,11,0,56,1.57,15.1
2023,1,11,1,26,1.47,15.1
2023,1,11,1,56,1.48,15.1
2023,1,11,2,26,1.41,15.1
2023,1,11,2,56,1.37,15.1
2023,1,11,3,26,1.26,15.1
2023,1,11,3,56,1.31,15.1
2023,1,11,4,26,1.32,15.1
2023,1,11,4,56,1.36,15.1
2023,1,11,5,26,1.28,15
2023,1,11,5,56,1.28,14.8
2023,1,11,6,26,1.35,14.4
2023,1,11,6,56,1.48,14.5
2023,1,11,7,26,1.79,14.4
2023,1,11,7,56,1.75,14
2023,1,11,8,26,1.97,14.4
2023,1,11,8,56,2.03,14.4
2023,1,11,9,26,1.91,14.1
2023,1,11,9,56,2.09,14.7
2023,1,11,10,26,2.23,14.4
2023,1,11,10,56,2.1,13.8
2023,1,11,11,26,2.21,14.3
2023,1,11,11,56,2.14,14.2
2023,1,11,12,26,1.92,14.2
2023,1,11,12,56,1.88,14.1
2023,1,11,13,26,1.75,14
2023,1,11,13,56,1.77,13.9
2023,1,11,14,26,1.66,14.5
2023,1,11,14,56,1.66,14.5
2023,1,11,15,26,1.59,14.1
2023,1,11,15,56,1.55,14.6
2023,1,11,16,26,1.61,14.4
2023,1,11,16,56,1.5,14.4
2023,1,11,17,26,1.69,14.6
2023,1,11,17,56,1.68,14.5
2023,1,11,18,26,1.81,14.6
2023,1,11,18,56,1.93,14.7
2023,1,11,19,26,1.94,14.8
2023,1,11,19,56,1.79,15.1
2023,1,11,20,26,1.96,15.3
2023,1,11,20,56,1.89,15.6
2023,1,11,21,26,2.18,15.8
2023,1,11,21,56,2,16.1
2023,1,11,22,26,2.16,16.1
2023,1,11,22,56,2.12,16.2
2023,1,11,23,26,2.26,15.6
2023,1,11,23,56,1.99,15.9
2023,1,12,0,26,1.87,15.8
2023,1,12,0,56,2.06,15.8
2023,1,12,1,26,1.92,15.7
2023,1,12,1,56,2.14,15.6
2023,1,12,2,26,1.85,15.5
2023,1,12,2,56,1.91,15.4
2023,1,12,3,26,1.89,15.4
2023,1,12,3,56,1.62,15.4
2023,1,12,4,26,1.9,15.4
2023,1,12,4,56,1.5,15.3
2023,1,12,5,26,1.56,15.3
2023,1,12,5,56,1.57,15.3
2023,1,12,6,26,1.79,15.3
2023,1,12,6,56,1.61,15.3
2023,1,12,7,26,1.67,15.2
2023,1,12,7,56,1.68,15.1
2023,1,12,8,26,1.71,15
2023,1,12,8,56,1.69,15
2023,1,12,9,26,1.88,15.1
2023,1,12,9,56,1.6,15.1
2023,1,12,10,26,1.57,15
2023,1,12,10,56,1.49,15
2023,1,12,11,26,1.37,15
2023,1,12,11,56,1.16,14.9
2023,1,12,12,26,1.39,14.9
2023,1,12,12,56,1.22,14.9
2023,1,12,13,26,1.27,14.9
2023,1,12,13,56,1.16,14.8
2023,1,12,14,26,1.03,14.8
2023,1,12,14,56,1.02,14.8
2023,1,12,15,26,0.96,14.9
2023,1,12,15,56,1,14.8
2023,1,12,16,26,0.96,14.9
2023,1,12,16,56,0.92,14.8
2023,1,12,17,26,0.96,14.8
2023,1,12,17,56,0.93,14.9
2023,1,12,18,26,1.03,14.9
2023,1,12,18,56,0.97,15
2023,1,12,19,26,0.97,15.1
2023,1,12,19,56,1.09,15.2
2023,1,12,20,26,1.1,15.3
2023,1,12,20,56,1.21,15.4
2023,1,12,21,26,1.21,15.4
2023,1,12,21,56,1.22,15.5
2023,1,12,22,26,1.23,15.5
2023,1,12,22,56,1.02,15.6
2023,1,12,23,26,1.13,15.4
2023,1,12,23,56,1.02,15.3
2023,1,13,0,26,1.1,15.3
2023,1,13,0,56,0.97,15.1
2023,1,13,1,26,1.13,15
2023,1,13,1,56,1.14,14.9
2023,1,13,2,26,1.12,14.8
2023,1,13,2,56,1.15,14.9
2023,1,13,3,26,1.16,14.7
2023,1,13,3,56,0.98,14.8
2023,1,13,4,26,1.09,14.8
2023,1,13,4,56,1.04,14.7
2023,1,13,5,26,1.05,14.6
2023,1,13,5,56,1.09,14.7
2023,1,13,6,26,1.15,14.8
2023,1,13,6,56,1.17,14.7
2023,1,13,7,26,1.29,14.8
2023,1,13,7,56,1.21,14.8
2023,1,13,8,26,1.28,15
2023,1,13,8,56,1.27,14.9
2023,1,13,9,26,1.26,14.9
2023,1,13,9,56,1.3,14.8
2023,1,13,10,26,1.35,14.7
2023,1,13,10,56,1.46,14.9
2023,1,13,11,26,1.54,14.9
2023,1,13,11,56,1.34,14.4
2023,1,13,12,26,1.52,14.1
2023,1,13,12,56,1.43,13.7
2023,1,13,13,26,1.45,14
2023,1,13,13,56,1.71,13.8
2023,1,13,14,26,1.5,14.2
2023,1,13,14,56,1.96,14.6
2023,1,13,15,26,1.96,14.7
2023,1,13,15,56,1.95,14.7
2023,1,13,16,26,1.92,14.8
2023,1,13,16,56,2.02,14.7
2023,1,13,17,26,1.85,14.7
2023,1,13,17,56,1.96,14.8
2023,1,13,18,26,2.04,14.9
2023,1,13,18,56,2.11,15
2023,1,13,19,26,2.15,15
2023,1,13,19,56,1.92,15
2023,1,13,20,26,2.21,15.1
2023,1,13,20,56,1.79,15.1
2023,1,13,21,26,1.77,15.2
2023,1,13,21,56,2.05,15.1
2023,1,13,22,26,2.08,15
2023,1,13,22,56,2.13,15
2023,1,13,23,26,2.27,15
2023,1,13,23,56,1.8,15
2023,1,14,0,26,2.33,15
2023,1,14,0,56,1.91,14.9
2023,1,14,1,26,2.21,14.8
2023,1,14,1,56,2.1,14.8
2023,1,14,2,26,2.05,14.8
2023,1,14,2,56,1.9,14.7
2023,1,14,3,26,1.93,14.8
2023,1,14,3,56,2.07,14.7
2023,1,14,4,26,2.02,14.8
2023,1,14,4,56,2.11,14.8
2023,1,14,5,26,2.47,14.8
2023,1,14,5,56,2.03,14.8
2023,1,14,6,26,2.32,14.8
2023,1,14,6,56,2.09,14.8
2023,1,14,7,26,2.6,14.8
2023,1,14,7,56,2.07,14.7
2023,1,14,8,26,2.43,14.7
2023,1,14,8,56,2.37,14.7
2023,1,14,9,26,2.39,14.7
2023,1,14,9,56,2.38,14.7
2023,1,14,10,26,2.32,14.7
2023,1,14,10,56,2.51,14.6
2023,1,14,11,26,2.56,14.6
2023,1,14,11,56,2.34,14.6
2023,1,14,12,26,2.22,14.6
2023,1,14,12,56,2.14,14.6
2023,1,14,13,26,2.07,14.6
2023,1,14,13,56,1.88,14.6
2023,1,14,14,26,2.11,14.6
2023,1,14,14,56,1.83,14.7
2023,1,14,15,26,2.12,14.7
2023,1,14,15,56,1.8,14.6
2023,1,14,16,26,1.88,14.7
2023,1,14,16,56,1.83,14.7
2023,1,14,17,26,1.96,14.7
2023,1,14,17,56,1.81,14.7
2023,1,14,18,26,2.06,14.7
2023,1,14,18,56,2.05,14.7
2023,1,14,19,26,2.05,14.7
2023,1,14,19,56,2.32,14.7
2023,1,14,20,26,2.31,14.7
2023,1,14,20,56,2.21,14.7
2023,1,14,21,26,2.12,14.7
2023,1,14,21,56,2.3,14.7
2023,1,14,22,26,2.23,14.6
2023,1,14,22,56,2.5,14.6
2023,1,14,23,26,2.41,14.6
2023,1,14,23,56,2.53,14.6
2023,1,15,0,26,2.4,14.6
2023,1,15,0,56,2.05,14.6
2023,1,15,1,26,2.05,14.6
2023,1,15,1,56,2.11,14.7
2023,1,15,2,26,2.12,14.7
2023,1,15,2,56,2.03,14.7
2023,1,15,3,26,2.07,14.7
2023,1,15,3,56,2.21,14.7
2023,1,15,4,26,2.15,14.7
2023,1,15,4,56,2.03,14.7
2023,1,15,5,26,2.12,14.7
2023,1,15,5,56,2.17,14.7
2023,1,15,6,26,2.05,14.7
2023,1,15,6,56,1.92,14.7
2023,1,15,7,26,1.95,14.7
2023,1,15,7,56,1.86,14.7
2023,1,15,8,26,1.74,14.7
2023,1,15,8,56,2.08,14.7
2023,1,15,9,26,1.79,14.7
2023,1,15,9,56,2.07,14.7
2023,1,15,10,26,1.85,14.7
2023,1,15,10,56,2.09,14.7
2023,1,15,11,26,1.89,14.7
2023,1,15,11,56,1.82,14.7
2023,1,15,12,26,1.72,14.7
2023,1,15,12,56,1.75,14.7
2023,1,15,13,26,1.79,14.7
2023,1,15,13,56,1.68,14.7
2023,1,15,14,26,1.47,14.6
2023,1,15,14,56,1.54,14.6
2023,1,15,15,26,1.49,14.6
2023,1,15,15,56,1.54,14.6
2023,1,15,16,26,1.46,14.6
2023,1,15,16,56,1.41,14.6
2023,1,15,17,26,1.31,14.7
2023,1,15,17,56,1.37,14.7
2023,1,15,18,26,1.36,14.7
2023,1,15,18,56,1.31,14.8
2023,1,15,19,26,1.36,14.8
2023,1,15,19,56,1.37,14.9
2023,1,15,20,26,1.36,15
2023,1,15,20,56,1.3,15
2023,1,15,21,26,1.31,14.9
2023,1,15,21,56,1.17,14.9
2023,1,15,22,26,1.39,14.9
2023,1,15,22,56,1.45,14.8
2023,1,15,23,26,1.5,14.8
2023,1,15,23,56,1.43,14.8
2023,1,16,0,26,1.36,14.8
2023,1,16,0,56,1.28,14.8
2023,1,16,1,26,1.47,14.8
2023,1,16,1,56,1.41,14.8
2023,1,16,2,26,1.49,14.8
2023,1,16,2,56,1.33,14.7
2023,1,16,3,26,1.33,14.6
2023,1,16,3,56,1.41,14.6
2023,1,16,4,26,1.21,14.6
2023,1,16,4,56,1.32,14.6
2023,1,16,5,26,1.35,14.6
2023,1,16,5,56,1.26,14.6
2023,1,16,6,26,1.18,14.6
2023,1,16,6,56,1.32,14.6
2023,1,16,7,26,1.24,14.6
2023,1,16,7,56,1.28,14.6
2023,1,16,8,26,1.32,14.6
2023,1,16,8,56,1.31,14.6
2023,1,16,9,26,1.52,14.6
2023,1,16,9,56,1.68,14.6
2023,1,16,10,26,1.97,14.6
2023,1,16,10,56,1.9,14.6
2023,1,16,11,26,1.78,14.6
2023,1,16,11,56,1.73,14.6
2023,1,16,12,26,1.74,14.6
2023,1,16,12,56,1.97,14.6
2023,1,16,13,26,1.86,14.6
2023,1,16,13,56,1.88,14.6
2023,1,16,14,26,1.76,14.6
2023,1,16,14,56,1.82,14.6
2023,1,16,15,26,1.68,14.6
2023,1,16,15,56,1.82,14.6
2023,1,16,16,26,1.88,14.6
2023,1,16,16,56,1.88,14.6
2023,1,16,17,26,2,14.6
2023,1,16,17,56,1.93,14.6
2023,1,16,18,26,1.92,14.6
2023,1,16,18,56,1.79,14.7
2023,1,16,19,26,1.78,14.7
