UniqueID,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,dieselBandII,Petroleum,Lignin,BIX,HIX,FI,M_to_C,JP5_empirical,JP5_normalized,Diesel_Chen,sample,run_name
B3_dusk_nut_042924,0.039451697,0.049445977,0.039301526,0.043693164,0.058693175,0.034356169,0.019648615,0.031866997,0.015067137,0.049301087,0.073368548,0.87736553,2.242652679,1.617074143,0.899489127,3.074066998,0.056683658,14.87148771,Group006Sample0005,nyssa_run1
B3_dusk_nut_20231021,0.046703138,0.098618094,0.039242999,0.060710667,0.082316182,0.032788661,0.018828857,0.030000194,0.013767315,0.048345658,0.097295195,0.735839684,1.138347113,1.84019174,0.646393792,4.902858826,0.079964374,20.98431007,Group005Sample0005,nyssa_run4
B3_dusk_nut_20231023,0.02471223,0.041756785,0.020881034,0.029089698,0.042630055,0.036811209,0.00988347,0.016595352,0.006909767,0.024955195,0.05119139,0.86231452,1.016771668,1.892906053,0.717815419,2.584048605,0.079720214,11.0349089,Group005Sample0004,nyssa_run4
B3_night_801,0.04733934,0.053615917,0.042173846,0.054215431,0.08315457,0.013947888,0.021029114,0.034428585,0.01633866,0.057035835,0.11088211,0.80108423,1.380912675,1.518700342,0.777893772,4.386859052,0.067316567,20.32823271,Group007Sample0004,nyssa_run5
B3_night_b_805,0.039094044,0.055229403,0.035440426,0.043874123,0.073259432,0.014707301,0.018026584,0.028953149,0.013422915,0.048753989,0.09855845,0.836576185,1.542895788,1.505218205,0.807775153,3.715412076,0.068604895,16.71442173,Group007Sample0005,nyssa_run5
B4_dawn_040424,0.037178356,0.053750281,0.033658163,0.043995764,0.114241908,0.042440701,0.017018371,0.026189629,0.012636939,0.042945581,0.118642957,0.924977886,1.187959836,1.757201372,0.765031896,5.013228988,0.093552154,19.02681427,Group005Sample0001,nyssa_run1
B4_dawn_20231031,0.02451739,0.055927165,0.021666504,0.028504742,0.042900052,0.019879315,0.009904981,0.017056754,0.007616187,0.024366058,0.0797373,0.875321366,1.8884519,1.721257498,0.760101729,2.160368215,0.069300452,9.228716087,Group006Sample0006,nyssa_run4
B4_day_802,0.041551883,0.048637612,0.036629098,0.047738398,0.068796841,0.025466358,0.016788145,0.029473749,0.013263821,0.045257161,0.076815869,0.829870883,1.599269635,1.558483767,0.76728797,3.544337068,0.065670833,16.08398834,Group005Sample0004,nyssa_run5
B4_day_804,0.025649402,0.046264293,0.023045151,0.030784901,0.064532137,0.039778191,0.010931843,0.018113071,0.007846901,0.02923121,0.037963898,0.934786686,1.099750411,1.619403442,0.748586176,3.287045386,0.088044603,13.15584341,Group005Sample0005,nyssa_run5
B4_dusk_20231022,0.02843587,0.054834004,0.024059399,0.035478948,0.073934751,0.020458404,0.011386681,0.019183593,0.008378403,0.028833151,0.062761595,0.894421052,0.860966301,1.785536927,0.678131692,4.010939239,0.103457944,14.21716209,Group005Sample0001,nyssa_run4
B4_dusk_nut_040924,0.040710431,0.039541962,0.038798048,0.04774396,0.060782556,0,0.018412175,0.031072151,0.01364707,0.047780355,0.088698285,0.845561882,2.317275845,1.666182471,0.812627354,2.955144694,0.056332717,14.37669502,Group002Sample0003,nyssa_run1
B4_night_803,0.03931637,0.073088622,0.03470299,0.047811759,0.078586458,0.022012483,0.016131964,0.02793167,0.012645548,0.044292907,0.090137811,0.764035466,0.986537744,1.570160087,0.725825418,4.480604051,0.08275132,18.65908584,Group007Sample0006,nyssa_run5
B5_dawn_040324,0.054821961,0.05452797,0.04688276,0.07868438,0.063317184,0.042912013,0.023939049,0.036890912,0.018157679,0.063297896,0.100842802,0.798180361,2.102656373,1.746939006,0.595833125,3.482446405,0.047894998,20.33653506,Group006Sample0001,nyssa_run1
B5_dawn_nut_20231030,0.023613206,0.030199168,0.020950864,0.028320861,0.030317768,0.016387144,0.009568165,0.016165446,0.007296752,0.022756775,0.051332685,0.906979465,1.719572617,1.772958515,0.739767902,1.698994783,0.056196336,8.93144941,Group006Sample0007,nyssa_run4
B5_day_731,0.043494733,0.088614134,0.036480743,0.062572835,0.107121657,0.040415182,0.016884141,0.028775638,0.012366287,0.046471518,0.134568266,0.834486757,0.978589338,1.660770687,0.583012468,5.61324063,0.087436356,23.33429343,Group005Sample0006,nyssa_run5
B5_dusk_040824,0.0536588,0.042165569,0.050150904,0.061306049,0.053623942,0.018905373,0.02351944,0.040725787,0.017476895,0.060256757,0.080457204,0.855808582,2.823241396,1.583748994,0.818041687,2.930316325,0.042829472,18.15309804,Group003Sample0001,nyssa_run1
B5_dusk_nut_20231021,0.031686729,0.040723623,0.028217479,0.039250792,0.049880002,0.030559528,0.01241247,0.0223539,0.009392542,0.030008336,0.0861096,0.923271127,1.589382851,1.751892041,0.718902144,2.586710813,0.063241266,12.86276909,Group005Sample0007,nyssa_run4
B6_dawn_20231029,0.026835657,0.028009797,0.023631137,0.033552188,0.034294398,0.02871482,0.011195696,0.019414495,0.00832934,0.027434681,0.067801271,0.916671183,2.137586682,1.797918338,0.704309869,1.721583662,0.050459871,9.777523623,Group006Sample0002,nyssa_run4
B6_dawn_nut_041624,0.047392432,0.040273536,0.045280877,0.06331201,0.038550897,0.004149276,0.021137518,0.0372027,0.016373002,0.057113806,0.066383863,0.797268439,3.870268175,1.700286243,0.715202007,2.142359096,0.034596669,14.95946154,Group001Sample0004,nyssa_run1
B6_day_802,0.052366121,0.056924191,0.046970867,0.058294923,0.081972791,0.039537714,0.022354918,0.038311933,0.016165407,0.059123611,0.107014134,0.821356088,1.236522183,1.539924389,0.805745417,4.381553009,0.063582524,21.36478636,Group005Sample0007,nyssa_run5
B6_dusk_nut_041024,0.047510901,0.058058834,0.043296938,0.055168031,0.078531278,0.056352889,0.019084209,0.034301669,0.014424128,0.050630725,0.127886586,0.897934619,1.596792117,1.558244923,0.78481936,4.094577246,0.064555438,19.80938217,Group006Sample0004,nyssa_run1
B6_dusk_nut_20231023,0.026027482,0.02825475,0.023761418,0.032294806,0.038221183,0.026734513,0.010548602,0.019382914,0.007870065,0.025916747,0.066499245,0.876587151,1.468694337,1.721520431,0.735765942,2.086598442,0.060647662,10.5786217,Group005Sample0003,nyssa_run4
B6_dusk_nut_20231024,0.027257887,0.029197023,0.024966027,0.031837508,0.040588078,0.009421008,0.011461631,0.019466879,0.008570563,0.029186594,0.061423018,0.862143048,1.320415139,1.783936281,0.784170263,2.203752487,0.062204295,11.09947913,Group005Sample0002,nyssa_run4
B6_night_801,0.044606216,0.059074643,0.043100734,0.052412428,0.089872811,0.01041607,0.019391571,0.034747238,0.015260038,0.050716945,0.128475564,0.902046225,1.301100778,1.474890282,0.822338043,4.637152013,0.073150747,19.9523538,Group006Sample0002,nyssa_run5
B6_night_806,0.064512256,0.054375096,0.057115634,0.073515297,0.100993621,0,0.026491684,0.045156797,0.020647426,0.071039791,0.143211144,0.815451709,2.037735196,1.532820164,0.776921769,4.568470519,0.055629233,23.73538956,Group006Sample0003,nyssa_run5
dusk_HC_00_nut_042824,0.054070072,0.068050069,0.054772296,0.060187886,0.11234231,0,0.02868978,0.045498954,0.020658744,0.06692891,0.102267851,0.975302714,1.979449221,1.544208777,0.910021924,5.453996752,0.074046736,20.84545372,Group002Sample0007,nyssa_run2
East_HC_00_20231022,0.030159314,0.049297097,0.02927526,0.034776808,0.098210823,0.048557033,0.014001954,0.023714767,0.010934727,0.037496074,0.09142286,0.892614252,0.948899244,1.511698627,0.841804122,4.718746686,0.100202468,17.11541965,Group005Sample0004,nyssa_run3
HC_00_041124,0.043718469,0.043203491,0.042574166,0.050107503,0.092478223,0.032707484,0.020861947,0.035153855,0.016014745,0.054044516,0.087908012,0.896079816,2.095365599,1.558947847,0.849656501,3.908241403,0.065623414,16.77207465,Group005Sample0006,nyssa_run2
HC_00_A_20231024,0.03796189,0.03788922,0.035948046,0.042633293,0.08560412,0,0.018352934,0.029655753,0.014120953,0.047083451,0.087009143,0.857256395,1.328695876,1.479884667,0.843191878,3.848442961,0.07146161,16.88800598,Group006Sample0001,nyssa_run3
