#,Date-Time (PST),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Host Connected,Button Down,End of File
100,01/08/2024 20:45:00,14.20,0.00,,,
101,01/08/2024 20:50:00,14.20,0.00,,,
102,01/08/2024 20:55:00,14.20,0.00,,,
103,01/08/2024 21:00:00,14.20,0.00,,,
104,01/08/2024 21:05:00,14.20,0.00,,,
105,01/08/2024 21:10:00,14.20,0.00,,,
106,01/08/2024 21:15:00,14.24,0.00,,,
107,01/08/2024 21:20:00,14.20,0.00,,,
108,01/08/2024 21:25:00,14.28,0.00,,,
109,01/08/2024 21:30:00,14.20,0.00,,,
110,01/08/2024 21:35:00,14.20,0.00,,,
111,01/08/2024 21:40:00,14.11,0.00,,,
112,01/08/2024 21:45:00,14.20,0.00,,,
113,01/08/2024 21:50:00,14.20,0.00,,,
114,01/08/2024 21:55:00,14.20,0.00,,,
115,01/08/2024 22:00:00,14.20,0.00,,,
116,01/08/2024 22:05:00,14.15,0.00,,,
117,01/08/2024 22:10:00,14.11,0.00,,,
118,01/08/2024 22:15:00,14.15,0.00,,,
119,01/08/2024 22:20:00,14.11,0.00,,,
120,01/08/2024 22:25:00,14.20,0.00,,,
121,01/08/2024 22:30:00,14.15,0.00,,,
122,01/08/2024 22:35:00,14.11,0.00,,,
123,01/08/2024 22:40:00,14.15,0.00,,,
124,01/08/2024 22:45:00,14.11,0.00,,,
125,01/08/2024 22:50:00,14.15,0.00,,,
126,01/08/2024 22:55:00,14.07,0.00,,,
127,01/08/2024 23:00:00,14.03,0.00,,,
128,01/08/2024 23:05:00,14.03,0.00,,,
129,01/08/2024 23:10:00,14.03,0.00,,,
130,01/08/2024 23:15:00,14.03,0.00,,,
131,01/08/2024 23:20:00,14.03,0.00,,,
132,01/08/2024 23:25:00,13.98,0.00,,,
133,01/08/2024 23:30:00,13.98,0.00,,,
134,01/08/2024 23:35:00,13.98,0.00,,,
135,01/08/2024 23:40:00,13.98,0.00,,,
136,01/08/2024 23:45:00,13.98,0.00,,,
137,01/08/2024 23:50:00,13.94,0.00,,,
138,01/08/2024 23:55:00,13.98,0.00,,,
139,01/09/2024 00:00:00,13.90,0.00,,,
140,01/09/2024 00:05:00,13.98,0.00,,,
141,01/09/2024 00:10:00,13.98,0.00,,,
142,01/09/2024 00:15:00,14.03,0.00,,,
143,01/09/2024 00:20:00,13.94,0.00,,,
144,01/09/2024 00:25:00,13.94,0.00,,,
145,01/09/2024 00:30:00,13.90,0.00,,,
146,01/09/2024 00:35:00,13.90,0.00,,,
147,01/09/2024 00:40:00,13.90,0.00,,,
148,01/09/2024 00:45:00,13.90,0.00,,,
149,01/09/2024 00:50:00,13.90,0.00,,,
150,01/09/2024 00:55:00,13.90,0.00,,,
151,01/09/2024 01:00:00,13.90,0.00,,,
152,01/09/2024 01:05:00,13.85,0.00,,,
153,01/09/2024 01:10:00,13.85,0.00,,,
154,01/09/2024 01:15:00,13.85,0.00,,,
155,01/09/2024 01:20:00,13.85,0.00,,,
156,01/09/2024 01:25:00,13.85,0.00,,,
157,01/09/2024 01:30:00,13.90,0.00,,,
158,01/09/2024 01:35:00,13.90,0.00,,,
159,01/09/2024 01:40:00,13.85,0.00,,,
160,01/09/2024 01:45:00,13.81,0.00,,,
161,01/09/2024 01:50:00,13.81,0.00,,,
162,01/09/2024 01:55:00,13.81,0.00,,,
163,01/09/2024 02:00:00,13.85,0.00,,,
164,01/09/2024 02:05:00,13.85,0.00,,,
165,01/09/2024 02:10:00,13.85,0.00,,,
166,01/09/2024 02:15:00,13.85,0.00,,,
167,01/09/2024 02:20:00,13.81,0.00,,,
168,01/09/2024 02:25:00,13.81,0.00,,,
169,01/09/2024 02:30:00,13.81,0.00,,,
170,01/09/2024 02:35:00,13.85,0.00,,,
171,01/09/2024 02:40:00,13.90,0.00,,,
172,01/09/2024 02:45:00,13.81,0.00,,,
173,01/09/2024 02:50:00,13.85,0.00,,,
174,01/09/2024 02:55:00,13.85,0.00,,,
175,01/09/2024 03:00:00,13.81,0.00,,,
176,01/09/2024 03:05:00,13.77,0.00,,,
177,01/09/2024 03:10:00,13.85,0.00,,,
178,01/09/2024 03:15:00,13.81,0.00,,,
179,01/09/2024 03:20:00,13.81,0.00,,,
180,01/09/2024 03:25:00,13.77,0.00,,,
181,01/09/2024 03:30:00,13.81,0.00,,,
182,01/09/2024 03:35:00,13.77,0.00,,,
183,01/09/2024 03:40:00,13.85,0.00,,,
184,01/09/2024 03:45:00,13.81,0.00,,,
185,01/09/2024 03:50:00,13.81,0.00,,,
186,01/09/2024 03:55:00,13.85,0.00,,,
187,01/09/2024 04:00:00,13.85,0.00,,,
188,01/09/2024 04:05:00,13.81,0.00,,,
189,01/09/2024 04:10:00,13.81,0.00,,,
190,01/09/2024 04:15:00,13.90,0.00,,,
191,01/09/2024 04:20:00,13.98,0.00,,,
192,01/09/2024 04:25:00,13.85,0.00,,,
193,01/09/2024 04:30:00,13.81,0.00,,,
194,01/09/2024 04:35:00,13.81,0.00,,,
195,01/09/2024 04:40:00,13.81,0.00,,,
196,01/09/2024 04:45:00,13.85,0.00,,,
197,01/09/2024 04:50:00,13.81,0.00,,,
198,01/09/2024 04:55:00,13.77,0.00,,,
199,01/09/2024 05:00:00,13.90,0.00,,,
200,01/09/2024 05:05:00,14.03,0.00,,,
201,01/09/2024 05:10:00,13.98,0.00,,,
202,01/09/2024 05:15:00,14.03,0.00,,,
203,01/09/2024 05:20:00,14.07,0.00,,,
204,01/09/2024 05:25:00,14.03,0.00,,,
205,01/09/2024 05:30:00,14.07,0.00,,,
206,01/09/2024 05:35:00,14.07,0.00,,,
207,01/09/2024 05:40:00,14.07,0.00,,,
208,01/09/2024 05:45:00,14.07,0.00,,,
209,01/09/2024 05:50:00,14.07,0.00,,,
210,01/09/2024 05:55:00,14.07,0.00,,,
211,01/09/2024 06:00:00,14.07,0.00,,,
212,01/09/2024 06:05:00,14.03,0.00,,,
213,01/09/2024 06:10:00,14.03,0.00,,,
214,01/09/2024 06:15:00,14.03,0.00,,,
215,01/09/2024 06:20:00,14.07,0.00,,,
216,01/09/2024 06:25:00,13.98,0.21,,,
217,01/09/2024 06:30:00,14.07,0.87,,,
218,01/09/2024 06:35:00,13.98,3.29,,,
219,01/09/2024 06:40:00,13.98,13.00,,,
220,01/09/2024 06:45:00,13.94,36.56,,,
221,01/09/2024 06:50:00,13.94,84.76,,,
222,01/09/2024 06:55:00,13.98,167.76,,,
223,01/09/2024 07:00:00,13.94,294.24,,,
224,01/09/2024 07:05:00,13.98,473.76,,,
225,01/09/2024 07:10:00,13.94,634.24,,,
226,01/09/2024 07:15:00,13.94,913.92,,,
227,01/09/2024 07:20:00,13.94,1225.28,,,
228,01/09/2024 07:25:00,14.03,1303.68,,,
229,01/09/2024 07:30:00,13.98,1817.60,,,
230,01/09/2024 07:35:00,14.03,2410.24,,,
231,01/09/2024 07:40:00,14.03,2478.72,,,
232,01/09/2024 07:45:00,14.03,2595.20,,,
233,01/09/2024 07:50:00,14.03,3895.04,,,
234,01/09/2024 07:55:00,14.07,4401.92,,,
235,01/09/2024 08:00:00,14.03,4444.16,,,
236,01/09/2024 08:05:00,14.07,5777.92,,,
237,01/09/2024 08:10:00,14.11,7001.60,,,
238,01/09/2024 08:15:00,14.07,7004.16,,,
239,01/09/2024 08:20:00,14.11,6238.72,,,
240,01/09/2024 08:25:00,14.11,5123.84,,,
241,01/09/2024 08:30:00,14.07,5514.24,,,
242,01/09/2024 08:35:00,14.07,6727.68,,,
243,01/09/2024 08:40:00,14.15,7838.72,,,
244,01/09/2024 08:45:00,14.15,8783.36,,,
245,01/09/2024 08:50:00,14.20,12057.60,,,
246,01/09/2024 08:55:00,14.15,5703.68,,,
247,01/09/2024 09:00:00,13.98,8212.48,,,
248,01/09/2024 09:05:00,14.15,12175.36,,,
249,01/09/2024 09:10:00,14.33,10690.56,,,
250,01/09/2024 09:15:00,14.24,11975.68,,,
251,01/09/2024 09:20:00,14.07,9600.00,,,
252,01/09/2024 09:25:00,13.94,7050.24,,,
253,01/09/2024 09:30:00,14.24,12830.72,,,
254,01/09/2024 09:35:00,14.33,19031.04,,,
255,01/09/2024 09:40:00,14.33,11996.16,,,
256,01/09/2024 09:45:00,14.41,9943.04,,,
257,01/09/2024 09:50:00,14.37,12523.52,,,
258,01/09/2024 09:55:00,14.50,9909.76,,,
259,01/09/2024 10:00:00,14.50,9966.08,,,
260,01/09/2024 10:05:00,14.63,9930.24,,,
261,01/09/2024 10:10:00,14.67,36198.40,,,
262,01/09/2024 10:15:00,14.75,19092.48,,,
263,01/09/2024 10:20:00,14.84,12144.64,,,
264,01/09/2024 10:25:00,15.01,13501.44,,,
265,01/09/2024 10:30:00,15.18,39546.88,,,
266,01/09/2024 10:35:00,15.40,34703.36,,,
267,01/09/2024 10:40:00,15.57,26112.00,,,
268,01/09/2024 10:45:00,15.78,13445.12,,,
269,01/09/2024 10:50:00,16.17,37877.76,,,
270,01/09/2024 10:55:00,16.30,37580.80,,,
271,01/09/2024 11:00:00,16.47,18816.00,,,
272,01/09/2024 11:05:00,16.56,40826.88,,,
273,01/09/2024 11:10:00,16.73,46059.52,,,
274,01/09/2024 11:15:00,16.64,38871.04,,,
275,01/09/2024 11:20:00,17.07,15687.68,,,
276,01/09/2024 11:25:00,17.29,41943.04,,,
277,01/09/2024 11:30:00,17.24,48209.92,,,
278,01/09/2024 11:35:00,17.46,21852.16,,,
279,01/09/2024 11:40:00,17.37,47718.40,,,
280,01/09/2024 11:45:00,17.63,41615.36,,,
281,01/09/2024 11:50:00,18.02,44871.68,,,
282,01/09/2024 11:55:00,18.23,43130.88,,,
283,01/09/2024 12:00:00,18.57,46223.36,,,
284,01/09/2024 12:05:00,18.62,47677.44,,,
285,01/09/2024 12:10:00,19.22,42967.04,,,
286,01/09/2024 12:15:00,20.46,43171.84,,,
287,01/09/2024 12:20:00,20.12,43089.92,,,
288,01/09/2024 12:25:00,20.68,42536.96,,,
289,01/09/2024 12:30:00,19.82,32450.56,,,
290,01/09/2024 12:35:00,21.15,43499.52,,,
291,01/09/2024 12:40:00,22.18,42905.60,,,
292,01/09/2024 12:45:00,22.91,41052.16,,,
293,01/09/2024 12:50:00,23.34,39731.20,,,
294,01/09/2024 12:55:00,23.76,39424.00,,,
295,01/09/2024 13:00:00,23.85,38983.68,,,
296,01/09/2024 13:05:00,24.02,38481.92,,,
297,01/09/2024 13:10:00,24.32,37949.44,,,
298,01/09/2024 13:15:00,24.41,37888.00,,,
299,01/09/2024 13:20:00,24.66,37847.04,,,
300,01/09/2024 13:25:00,24.84,38860.80,,,
301,01/09/2024 13:30:00,24.75,34990.08,,,
302,01/09/2024 13:35:00,21.79,5603.84,,,
303,01/09/2024 13:40:00,23.08,36075.52,,,
304,01/09/2024 13:45:00,21.06,772.16,,,
305,01/09/2024 13:50:00,20.98,35153.92,,,
306,01/09/2024 13:55:00,22.52,34416.64,,,
307,01/09/2024 14:00:00,23.08,33269.76,,,
308,01/09/2024 14:05:00,23.38,32317.44,,,
309,01/09/2024 14:10:00,23.46,31846.40,,,
310,01/09/2024 14:15:00,23.51,31272.96,,,
311,01/09/2024 14:20:00,23.42,30453.76,,,
312,01/09/2024 14:25:00,23.72,30064.64,,,
313,01/09/2024 14:30:00,23.64,29204.48,,,
314,01/09/2024 14:35:00,23.51,28518.40,,,
315,01/09/2024 14:40:00,23.81,27832.32,,,
316,01/09/2024 14:45:00,23.98,27975.68,,,
317,01/09/2024 14:50:00,24.11,27719.68,,,
318,01/09/2024 14:55:00,23.81,21760.00,,,
319,01/09/2024 15:00:00,22.95,23879.68,,,
320,01/09/2024 15:05:00,23.72,25057.28,,,
321,01/09/2024 15:10:00,20.93,18380.80,,,
322,01/09/2024 15:15:00,20.72,18155.52,,,
323,01/09/2024 15:20:00,20.55,17285.12,,,
324,01/09/2024 15:25:00,20.59,18662.40,,,
325,01/09/2024 15:30:00,21.02,20372.48,,,
326,01/09/2024 15:35:00,22.18,22292.48,,,
327,01/09/2024 15:40:00,22.99,22620.16,,,
328,01/09/2024 15:45:00,22.61,18606.08,,,
329,01/09/2024 15:50:00,22.05,18099.20,,,
330,01/09/2024 15:55:00,20.29,11970.56,,,
331,01/09/2024 16:00:00,18.92,14074.88,,,
332,01/09/2024 16:05:00,19.47,14561.28,,,
333,01/09/2024 16:10:00,18.06,8614.40,,,
334,01/09/2024 16:15:00,17.46,12743.68,,,
335,01/09/2024 16:20:00,16.81,9451.52,,,
336,01/09/2024 16:25:00,15.31,4715.52,,,
337,01/09/2024 16:30:00,13.17,4078.08,,,
338,01/09/2024 16:35:00,12.52,3185.92,,,
339,01/09/2024 16:40:00,12.01,2454.40,,,
340,01/09/2024 16:45:00,11.62,2032.00,,,
341,01/09/2024 16:50:00,12.14,1728.64,,,
342,01/09/2024 16:55:00,12.31,1138.24,,,
343,01/09/2024 17:00:00,11.92,759.68,,,
344,01/09/2024 17:05:00,13.04,497.44,,,
345,01/09/2024 17:10:00,13.04,251.60,,,
346,01/09/2024 17:15:00,13.43,119.52,,,
347,01/09/2024 17:20:00,13.60,40.63,,,
348,01/09/2024 17:25:00,13.85,14.95,,,
349,01/09/2024 17:30:00,14.11,4.83,,,
350,01/09/2024 17:35:00,13.94,1.53,,,
351,01/09/2024 17:40:00,14.24,0.43,,,
352,01/09/2024 17:45:00,13.81,0.00,,,
353,01/09/2024 17:50:00,14.11,0.00,,,
354,01/09/2024 17:55:00,14.28,0.00,,,
355,01/09/2024 18:00:00,14.03,0.00,,,
356,01/09/2024 18:05:00,14.33,0.00,,,
357,01/09/2024 18:10:00,14.41,0.00,,,
358,01/09/2024 18:15:00,14.41,0.00,,,
359,01/09/2024 18:20:00,14.41,0.00,,,
360,01/09/2024 18:25:00,14.45,0.00,,,
361,01/09/2024 18:30:00,14.50,0.00,,,
362,01/09/2024 18:35:00,14.54,0.00,,,
363,01/09/2024 18:40:00,14.50,0.00,,,
364,01/09/2024 18:45:00,14.50,0.00,,,
365,01/09/2024 18:50:00,14.45,0.00,,,
366,01/09/2024 18:55:00,14.50,0.00,,,
367,01/09/2024 19:00:00,14.50,0.00,,,
368,01/09/2024 19:05:00,14.45,0.00,,,
369,01/09/2024 19:10:00,14.41,0.00,,,
370,01/09/2024 19:15:00,14.41,0.00,,,
371,01/09/2024 19:20:00,14.45,0.00,,,
372,01/09/2024 19:25:00,14.50,0.00,,,
373,01/09/2024 19:30:00,14.45,0.00,,,
374,01/09/2024 19:35:00,14.50,0.00,,,
375,01/09/2024 19:40:00,14.41,0.00,,,
376,01/09/2024 19:45:00,14.41,0.00,,,
377,01/09/2024 19:50:00,14.41,0.00,,,
378,01/09/2024 19:55:00,14.45,0.00,,,
379,01/09/2024 20:00:00,14.41,0.00,,,
380,01/09/2024 20:05:00,14.41,0.00,,,
381,01/09/2024 20:10:00,14.41,0.00,,,
382,01/09/2024 20:15:00,14.41,0.00,,,
383,01/09/2024 20:20:00,14.37,0.00,,,
384,01/09/2024 20:25:00,14.41,0.00,,,
385,01/09/2024 20:30:00,14.41,0.00,,,
386,01/09/2024 20:35:00,14.41,0.00,,,
387,01/09/2024 20:40:00,14.41,0.00,,,
388,01/09/2024 20:45:00,14.45,0.00,,,
389,01/09/2024 20:50:00,14.41,0.00,,,
390,01/09/2024 20:55:00,14.37,0.00,,,
391,01/09/2024 21:00:00,14.41,0.00,,,
392,01/09/2024 21:05:00,14.41,0.00,,,
393,01/09/2024 21:10:00,14.41,0.00,,,
394,01/09/2024 21:15:00,14.41,0.00,,,
395,01/09/2024 21:20:00,14.41,0.00,,,
396,01/09/2024 21:25:00,14.37,0.00,,,
397,01/09/2024 21:30:00,14.41,0.00,,,
398,01/09/2024 21:35:00,14.33,0.00,,,
399,01/09/2024 21:40:00,14.37,0.00,,,
400,01/09/2024 21:45:00,14.33,0.00,,,
401,01/09/2024 21:50:00,14.33,0.00,,,
402,01/09/2024 21:55:00,14.37,0.00,,,
403,01/09/2024 22:00:00,14.33,0.00,,,
404,01/09/2024 22:05:00,14.33,0.00,,,
405,01/09/2024 22:10:00,14.33,0.00,,,
406,01/09/2024 22:15:00,14.33,0.00,,,
407,01/09/2024 22:20:00,14.33,0.00,,,
408,01/09/2024 22:25:00,14.33,0.00,,,
409,01/09/2024 22:30:00,14.33,0.00,,,
410,01/09/2024 22:35:00,14.33,0.00,,,
411,01/09/2024 22:40:00,14.28,0.00,,,
412,01/09/2024 22:45:00,14.33,0.00,,,
413,01/09/2024 22:50:00,14.28,0.00,,,
414,01/09/2024 22:55:00,14.28,0.00,,,
415,01/09/2024 23:00:00,14.28,0.00,,,
416,01/09/2024 23:05:00,14.24,0.00,,,
417,01/09/2024 23:10:00,14.28,0.00,,,
418,01/09/2024 23:15:00,14.24,0.00,,,
419,01/09/2024 23:20:00,14.24,0.00,,,
420,01/09/2024 23:25:00,14.28,0.00,,,
421,01/09/2024 23:30:00,14.20,0.00,,,
422,01/09/2024 23:35:00,14.24,0.00,,,
423,01/09/2024 23:40:00,14.20,0.00,,,
424,01/09/2024 23:45:00,14.20,0.00,,,
425,01/09/2024 23:50:00,14.20,0.00,,,
426,01/09/2024 23:55:00,14.24,0.00,,,
427,01/10/2024 00:00:00,14.24,0.00,,,
428,01/10/2024 00:05:00,14.24,0.00,,,
429,01/10/2024 00:10:00,14.20,0.00,,,
430,01/10/2024 00:15:00,14.24,0.00,,,
431,01/10/2024 00:20:00,14.28,0.00,,,
432,01/10/2024 00:25:00,14.28,0.00,,,
433,01/10/2024 00:30:00,14.28,0.00,,,
434,01/10/2024 00:35:00,14.28,0.00,,,
435,01/10/2024 00:40:00,14.28,0.00,,,
436,01/10/2024 00:45:00,14.24,0.00,,,
437,01/10/2024 00:50:00,14.28,0.00,,,
438,01/10/2024 00:55:00,14.28,0.00,,,
439,01/10/2024 01:00:00,14.24,0.00,,,
440,01/10/2024 01:05:00,14.24,0.00,,,
441,01/10/2024 01:10:00,14.28,0.00,,,
442,01/10/2024 01:15:00,14.33,0.00,,,
443,01/10/2024 01:20:00,14.28,0.00,,,
444,01/10/2024 01:25:00,14.33,0.00,,,
445,01/10/2024 01:30:00,14.33,0.00,,,
446,01/10/2024 01:35:00,14.28,0.00,,,
447,01/10/2024 01:40:00,14.37,0.00,,,
448,01/10/2024 01:45:00,14.28,0.00,,,
449,01/10/2024 01:50:00,14.33,0.00,,,
450,01/10/2024 01:55:00,14.28,0.00,,,
451,01/10/2024 02:00:00,14.33,0.00,,,
452,01/10/2024 02:05:00,14.33,0.00,,,
453,01/10/2024 02:10:00,14.24,0.00,,,
454,01/10/2024 02:15:00,14.28,0.00,,,
455,01/10/2024 02:20:00,14.33,0.00,,,
456,01/10/2024 02:25:00,14.28,0.00,,,
457,01/10/2024 02:30:00,14.28,0.00,,,
458,01/10/2024 02:35:00,14.28,0.00,,,
459,01/10/2024 02:40:00,14.28,0.00,,,
460,01/10/2024 02:45:00,14.28,0.00,,,
461,01/10/2024 02:50:00,14.24,0.00,,,
462,01/10/2024 02:55:00,14.24,0.00,,,
463,01/10/2024 03:00:00,14.20,0.00,,,
464,01/10/2024 03:05:00,14.24,0.00,,,
465,01/10/2024 03:10:00,14.20,0.00,,,
466,01/10/2024 03:15:00,14.24,0.00,,,
467,01/10/2024 03:20:00,14.24,0.00,,,
468,01/10/2024 03:25:00,14.24,0.00,,,
469,01/10/2024 03:30:00,14.24,0.00,,,
470,01/10/2024 03:35:00,14.28,0.00,,,
471,01/10/2024 03:40:00,14.28,0.00,,,
472,01/10/2024 03:45:00,14.20,0.00,,,
473,01/10/2024 03:50:00,14.24,0.00,,,
474,01/10/2024 03:55:00,14.28,0.00,,,
475,01/10/2024 04:00:00,14.24,0.00,,,
476,01/10/2024 04:05:00,14.28,0.00,,,
477,01/10/2024 04:10:00,14.33,0.00,,,
478,01/10/2024 04:15:00,14.28,0.00,,,
479,01/10/2024 04:20:00,14.33,0.00,,,
480,01/10/2024 04:25:00,14.33,0.00,,,
481,01/10/2024 04:30:00,14.33,0.00,,,
482,01/10/2024 04:35:00,14.33,0.00,,,
483,01/10/2024 04:40:00,14.37,0.00,,,
484,01/10/2024 04:45:00,14.37,0.00,,,
485,01/10/2024 04:50:00,14.37,0.00,,,
486,01/10/2024 04:55:00,14.37,0.00,,,
487,01/10/2024 05:00:00,14.41,0.00,,,
488,01/10/2024 05:05:00,14.41,0.00,,,
489,01/10/2024 05:10:00,14.41,0.00,,,
490,01/10/2024 05:15:00,14.45,0.00,,,
491,01/10/2024 05:20:00,14.45,0.00,,,
492,01/10/2024 05:25:00,14.50,0.00,,,
493,01/10/2024 05:30:00,14.41,0.00,,,
494,01/10/2024 05:35:00,14.45,0.00,,,
495,01/10/2024 05:40:00,14.45,0.00,,,
496,01/10/2024 05:45:00,14.50,0.00,,,
497,01/10/2024 05:50:00,14.54,0.00,,,
498,01/10/2024 05:55:00,14.50,0.00,,,
499,01/10/2024 06:00:00,14.54,0.00,,,
500,01/10/2024 06:05:00,14.54,0.00,,,
501,01/10/2024 06:10:00,14.58,0.00,,,
502,01/10/2024 06:15:00,14.54,0.00,,,
503,01/10/2024 06:20:00,14.54,0.00,,,
504,01/10/2024 06:25:00,14.54,0.21,,,
505,01/10/2024 06:30:00,14.54,0.87,,,
506,01/10/2024 06:35:00,14.58,3.95,,,
507,01/10/2024 06:40:00,14.58,12.34,,,
508,01/10/2024 06:45:00,14.58,30.40,,,
509,01/10/2024 06:50:00,14.58,84.76,,,
510,01/10/2024 06:55:00,14.58,156.24,,,
511,01/10/2024 07:00:00,14.63,302.16,,,
512,01/10/2024 07:05:00,14.63,464.00,,,
513,01/10/2024 07:10:00,14.63,628.96,,,
514,01/10/2024 07:15:00,14.58,935.04,,,
515,01/10/2024 07:20:00,14.63,1232.32,,,
516,01/10/2024 07:25:00,14.67,1594.88,,,
517,01/10/2024 07:30:00,14.67,1905.28,,,
518,01/10/2024 07:35:00,14.67,2174.72,,,
519,01/10/2024 07:40:00,14.67,2329.60,,,
520,01/10/2024 07:45:00,14.67,2954.24,,,
521,01/10/2024 07:50:00,14.75,3959.04,,,
522,01/10/2024 07:55:00,14.75,4373.76,,,
523,01/10/2024 08:00:00,14.75,4377.60,,,
524,01/10/2024 08:05:00,14.80,4366.08,,,
525,01/10/2024 08:10:00,14.80,5516.80,,,
526,01/10/2024 08:15:00,14.84,5667.84,,,
527,01/10/2024 08:20:00,14.84,8335.36,,,
